symbol,direction,risk_level,entry_price,stop_loss,take_profit,issued_at_tehran,status,hit_time_tehran,hit_price,broker_fee,final_pnl_usd,position_size_usd,return_pct,signal_source
BNB-USDT,SHORT,ریسک میانی,857.93000000,860.56097840,852.66804320,2025-12-17 09:12:44,STOP_HIT,2025-12-17 09:13:00,860.56097840,0.020000,-0.050667,10.00,-0.3067,"Dir=SHORT | TF_EMA=30m:EMA21=865.681945,30m:EMA55=866.752712,1h:EMA21=866.486297,1h:EMA55=869.772661,4h:EMA21=872.306005,4h:EMA55=879.685096 | TF_RSI=5m:RSI=34.29,15m:RSI=24.35,30m:RSI=33.17,1h:RSI=39.12,4h:RSI=40.82 | TF_MACD=5m:MACD=-1.916392,5m:HIST=0.117116,15m:MACD=-3.397254,15m:HIST=-0.817018,30m:MACD=-2.501519,30m:HIST=-1.800722,1h:MACD=-0.738181,1h:HIST=-1.363551,4h:MACD=-5.934353,4h:HIST=-0.528354 | BS15=0.765 | RulesPassed=روند 1h;کندل قوی 15m;ورود + حجم;RSI;MACD;عدم واگرایی;حجم + کندل 15m | Reasons=روند 1h: EMA همسو + ساختار LH/LL در 4 کندل|قدرت کندل 15m = 0.77 (حد > 0.45)|نزدیکی سطح + حجم ≥1.2x|RSI: 5/5 همسو + 1 خیلی قوی (>70/<30)|MACD: 4/5 همسو + 2 شدت قوی|بدون واگرایی در 1h و 4h|حجم اسپایک (≥1.2x) + قدرت کندل 15m = 0.77"
DOGE-USDT,SHORT,ریسک بالا,0.13044000,0.13094880,0.12942240,2025-12-17 09:12:44,STOP_HIT,2025-12-17 09:13:00,0.13094880,0.020000,-0.059006,10.00,-0.3901,"Dir=SHORT | TF_EMA=30m:EMA21=0.131271,30m:EMA55=0.131318,1h:EMA21=0.131278,1h:EMA55=0.132223,4h:EMA21=0.133208,4h:EMA55=0.137001 | TF_RSI=5m:RSI=37.48,15m:RSI=33.78,30m:RSI=40.81,1h:RSI=43.81,4h:RSI=38.16 | TF_MACD=5m:MACD=-0.000241,5m:HIST=-2.7e-05,15m:MACD=-0.000286,15m:HIST=-0.000103,30m:MACD=-0.000152,30m:HIST=-0.000195,1h:MACD=-6e-06,1h:HIST=-6.3e-05,4h:MACD=-0.002053,4h:HIST=0.000109 | BS15=0.437 | RulesPassed=روند 4h;روند 1h;EMA21 30m;کندل قوی 15m;مومنتوم (RSI/MACD);عدم واگرایی | Reasons=روند 4h: بالای/زیر EMA21، EMA55، EMA200 + ساختار LH/LL در 3 کندل|روند 1h: EMA همسو + ساختار LH/LL در 3 کندل|قیمت همسو با EMA21 در 30m|قدرت کندل 15m = 0.44 (حد > 0.3)|RSI 5/5 + قوی=0 یا MACD 4/5 + شدت=1|بدون واگرایی در 1h و 4h"
POL-USDT,SHORT,ریسک بالا,0.11160000,0.11212560,0.11054880,2025-12-17 09:12:44,STOP_HIT,2025-12-17 09:13:00,0.11212560,0.020000,-0.067097,10.00,-0.4710,"Dir=SHORT | TF_EMA=30m:EMA21=0.112943,30m:EMA55=0.113212,1h:EMA21=0.113044,1h:EMA55=0.114311,4h:EMA21=0.115219,4h:EMA55=0.118879 | TF_RSI=5m:RSI=34.54,15m:RSI=30.98,30m:RSI=34.87,1h:RSI=38.75,4h:RSI=36.79 | TF_MACD=5m:MACD=-0.000364,5m:HIST=-1.8e-05,15m:MACD=-0.000466,15m:HIST=-0.000196,30m:MACD=-0.000272,30m:HIST=-0.000299,1h:MACD=-0.000211,1h:HIST=-7.1e-05,4h:MACD=-0.002123,4h:HIST=-0.00011 | BS15=0.667 | RulesPassed=روند 1h;EMA21 30m;کندل قوی 15m;مومنتوم (RSI/MACD);عدم واگرایی | Reasons=روند 1h: EMA همسو + ساختار LH/LL در 3 کندل|قیمت همسو با EMA21 در 30m|قدرت کندل 15m = 0.67 (حد > 0.3)|RSI 5/5 + قوی=0 یا MACD 5/5 + شدت=1|بدون واگرایی در 1h و 4h"
XLM-USDT,SHORT,ریسک بالا,0.21760000,0.21854680,0.21570640,2025-12-17 09:12:44,STOP_HIT,2025-12-17 09:13:00,0.21854680,0.020000,-0.063511,10.00,-0.4351,"Dir=SHORT | TF_EMA=30m:EMA21=0.219013,30m:EMA55=0.220183,1h:EMA21=0.21972,1h:EMA55=0.223008,4h:EMA21=0.225521,4h:EMA55=0.233719 | TF_RSI=5m:RSI=39.81,15m:RSI=37.73,30m:RSI=40.44,1h:RSI=39.8,4h:RSI=31.49 | TF_MACD=5m:MACD=-0.000393,5m:HIST=-6.1e-05,15m:MACD=-0.000426,15m:HIST=-0.000128,30m:MACD=-0.000596,30m:HIST=-0.000161,1h:MACD=-0.000904,1h:HIST=-6e-05,4h:MACD=-0.005244,4h:HIST=-0.000145 | BS15=0.333 | RulesPassed=روند 4h;روند 1h;EMA21 30m;کندل قوی 15m;ورود + حجم;مومنتوم (RSI/MACD) | Reasons=روند 4h: بالای/زیر EMA21، EMA55، EMA200 + ساختار LH/LL در 3 کندل|روند 1h: EMA همسو + ساختار LH/LL در 3 کندل|قیمت همسو با EMA21 در 30m|قدرت کندل 15m = 0.33 (حد > 0.3)|نزدیکی سطح + حجم ≥1.0x|RSI 5/5 + قوی=0 یا MACD 5/5 + شدت=2"
BNB-USDT,SHORT,ریسک میانی,858.26900000,860.92475000,852.95750000,2025-12-17 09:13:51,STOP_HIT,2025-12-17 09:14:00,860.92475000,0.020000,-0.050943,10.00,-0.3094,"Dir=SHORT | TF_EMA=30m:EMA21=865.712763,30m:EMA55=866.764819,1h:EMA21=866.517115,1h:EMA55=869.784768,4h:EMA21=872.336823,4h:EMA55=879.697203 | TF_RSI=5m:RSI=36.86,15m:RSI=26.05,30m:RSI=34.02,1h:RSI=39.42,4h:RSI=40.96 | TF_MACD=5m:MACD=-1.889349,5m:HIST=0.13875,15m:MACD=-3.370212,15m:HIST=-0.795383,30m:MACD=-2.474476,30m:HIST=-1.779088,1h:MACD=-0.711138,1h:HIST=-1.341917,4h:MACD=-5.90731,4h:HIST=-0.50672 | BS15=0.819 | RulesPassed=روند 1h;کندل قوی 15m;RSI;MACD;عدم واگرایی;حجم + کندل 15m | Reasons=روند 1h: EMA همسو + ساختار LH/LL در 4 کندل|قدرت کندل 15m = 0.82 (حد > 0.45)|RSI: 5/5 همسو + 1 خیلی قوی (>70/<30)|MACD: 4/5 همسو + 2 شدت قوی|بدون واگرایی در 1h و 4h|حجم اسپایک (≥1.2x) + قدرت کندل 15m = 0.82"
BNB-USDT,SHORT,ریسک بالا,858.26900000,860.92475000,852.95750000,2025-12-17 09:13:51,STOP_HIT,2025-12-17 09:14:00,860.92475000,0.020000,-0.050943,10.00,-0.3094,"Dir=SHORT | TF_EMA=30m:EMA21=865.712763,30m:EMA55=866.764819,1h:EMA21=866.517115,1h:EMA55=869.784768,4h:EMA21=872.336823,4h:EMA55=879.697203 | TF_RSI=5m:RSI=36.86,15m:RSI=26.05,30m:RSI=34.02,1h:RSI=39.42,4h:RSI=40.96 | TF_MACD=5m:MACD=-1.889349,5m:HIST=0.13875,15m:MACD=-3.370212,15m:HIST=-0.795383,30m:MACD=-2.474476,30m:HIST=-1.779088,1h:MACD=-0.711138,1h:HIST=-1.341917,4h:MACD=-5.90731,4h:HIST=-0.50672 | BS15=0.819 | RulesPassed=روند 1h;EMA21 30m;کندل قوی 15m;مومنتوم (RSI/MACD);عدم واگرایی;حجم + کندل 15m | Reasons=روند 1h: EMA همسو + ساختار LH/LL در 3 کندل|قیمت همسو با EMA21 در 30m|قدرت کندل 15m = 0.82 (حد > 0.3)|RSI 5/5 + قوی=1 یا MACD 4/5 + شدت=2|بدون واگرایی در 1h و 4h|حجم اسپایک (≥1.1x) + قدرت کندل 15m = 0.82"
ATOM-USDT,SHORT,ریسک بالا,1.99690000,2.00600440,1.97869120,2025-12-17 09:13:51,STOP_HIT,2025-12-17 09:14:00,2.00600440,0.020000,-0.065593,10.00,-0.4559,"Dir=SHORT | TF_EMA=30m:EMA21=2.007648,30m:EMA55=2.026636,1h:EMA21=2.019686,1h:EMA55=2.055117,4h:EMA21=2.073139,4h:EMA55=2.150083 | TF_RSI=5m:RSI=44.83,15m:RSI=43.74,30m:RSI=41.26,1h:RSI=36.78,4h:RSI=30.53 | TF_MACD=5m:MACD=-0.001739,5m:HIST=-0.000176,15m:MACD=-0.003528,15m:HIST=-0.000107,30m:MACD=-0.008192,30m:HIST=3.3e-05,1h:MACD=-0.015146,1h:HIST=-0.000243,4h:MACD=-0.045042,4h:HIST=-0.005261 | BS15=0.093 | RulesPassed=روند 1h;EMA21 30m;ورود + حجم;مومنتوم (RSI/MACD);عدم واگرایی | Reasons=روند 1h: EMA همسو + ساختار LH/LL در 3 کندل|قیمت همسو با EMA21 در 30m|نزدیکی سطح + حجم ≥1.0x|RSI 5/5 + قوی=0 یا MACD 4/5 + شدت=1|بدون واگرایی در 1h و 4h"
APT-USDT,SHORT,ریسک بالا,1.56210000,1.57123560,1.54382880,2025-12-17 09:13:51,STOP_HIT,2025-12-17 09:14:00,1.57123560,0.020000,-0.078483,10.00,-0.5848,"Dir=SHORT | TF_EMA=30m:EMA21=1.581479,30m:EMA55=1.584505,1h:EMA21=1.583188,1h:EMA55=1.597536,4h:EMA21=1.611481,4h:EMA55=1.689365 | TF_RSI=5m:RSI=33.44,15m:RSI=30.66,30m:RSI=35.94,1h:RSI=40.72,4h:RSI=35.9 | TF_MACD=5m:MACD=-0.005188,5m:HIST=-0.000625,15m:MACD=-0.005917,15m:HIST=-0.002101,30m:MACD=-0.004312,30m:HIST=-0.003489,1h:MACD=-0.002496,1h:HIST=-0.002093,4h:MACD=-0.030982,4h:HIST=0.002068 | BS15=0.278 | RulesPassed=روند 4h;روند 1h;EMA21 30m;مومنتوم (RSI/MACD);عدم واگرایی | Reasons=روند 4h: بالای/زیر EMA21، EMA55، EMA200 + ساختار LH/LL در 3 کندل|روند 1h: EMA همسو + ساختار LH/LL در 3 کندل|قیمت همسو با EMA21 در 30m|RSI 5/5 + قوی=0 یا MACD 4/5 + شدت=1|بدون واگرایی در 1h و 4h"
POL-USDT,SHORT,ریسک بالا,0.11170000,0.11222560,0.11064880,2025-12-17 09:13:51,STOP_HIT,2025-12-17 09:14:00,0.11222560,0.020000,-0.067055,10.00,-0.4705,"Dir=SHORT | TF_EMA=30m:EMA21=0.112952,30m:EMA55=0.113216,1h:EMA21=0.113053,1h:EMA55=0.114315,4h:EMA21=0.115228,4h:EMA55=0.118882 | TF_RSI=5m:RSI=36.98,15m:RSI=32.69,30m:RSI=36.17,1h:RSI=39.27,4h:RSI=36.99 | TF_MACD=5m:MACD=-0.000362,5m:HIST=-1.3e-05,15m:MACD=-0.000458,15m:HIST=-0.000189,30m:MACD=-0.000264,30m:HIST=-0.000293,1h:MACD=-0.000203,1h:HIST=-6.5e-05,4h:MACD=-0.002115,4h:HIST=-0.000103 | BS15=0.333 | RulesPassed=روند 1h;EMA21 30m;کندل قوی 15m;ورود + حجم;مومنتوم (RSI/MACD);عدم واگرایی | Reasons=روند 1h: EMA همسو + ساختار LH/LL در 3 کندل|قیمت همسو با EMA21 در 30m|قدرت کندل 15m = 0.33 (حد > 0.3)|نزدیکی سطح + حجم ≥1.0x|RSI 5/5 + قوی=0 یا MACD 5/5 + شدت=1|بدون واگرایی در 1h و 4h"
ADA-USDT,SHORT,ریسک بالا,0.37900000,0.38100880,0.37498240,2025-12-17 09:13:51,STOP_HIT,2025-12-17 09:14:00,0.38100880,0.020000,-0.073003,10.00,-0.5300,"Dir=SHORT | TF_EMA=30m:EMA21=0.383267,30m:EMA55=0.385286,1h:EMA21=0.384558,1h:EMA55=0.389488,4h:EMA21=0.393519,4h:EMA55=0.408359 | TF_RSI=5m:RSI=36.08,15m:RSI=30.91,30m:RSI=36.2,1h:RSI=37.35,4h:RSI=31.2 | TF_MACD=5m:MACD=-0.00118,5m:HIST=-8e-06,15m:MACD=-0.001567,15m:HIST=-0.000465,30m:MACD=-0.001534,30m:HIST=-0.000706,1h:MACD=-0.001611,1h:HIST=-0.000472,4h:MACD=-0.0089,4h:HIST=0.000138 | BS15=0.357 | RulesPassed=روند 4h;روند 1h;EMA21 30m;کندل قوی 15m;مومنتوم (RSI/MACD) | Reasons=روند 4h: بالای/زیر EMA21، EMA55، EMA200 + ساختار LH/LL در 3 کندل|روند 1h: EMA همسو + ساختار LH/LL در 3 کندل|قیمت همسو با EMA21 در 30m|قدرت کندل 15m = 0.36 (حد > 0.3)|RSI 5/5 + قوی=0 یا MACD 4/5 + شدت=2"
