symbol,direction,risk_level,entry_price,stop_loss,take_profit,issued_at_tehran,status,hit_time_tehran,hit_price,broker_fee,final_pnl_usd,position_size_usd,return_pct,signal_source
XAUT-USDT,SHORT,HIGH,4802.55000000,4824.45086850,4769.69869725,2026-02-02 00:17:33,OPEN,,,,,10.00,,"✅ قدرت کندل 15m: BS15=0.913 [حد ≥ 0.48];✅ قدرت کندل 5m: BS5=0.515 [حد ≥ 0.48];✅ روند EMA 1h: EMA21=4822.54, EMA55=4901.86;❌ روند EMA 4h: EMA21=4945.40, EMA55=5002.58, EMA200=4772.56;✅ RSI 30m: RSI=45.87 | سطح=MEDIUM;❌ MACD 30m: MACD_hist=0.6191 | سطح=MEDIUM;❌ شکست ورود: Price=4802.55, EMA21=4808.13, Th=0.003 | سطح=MEDIUM;❌ EMA Rejection: EMA=4808.1298, Last=4802.5500;✅ Pullback: Last=4802.5500, Dir=SHORT;✅ ADX: ADX=91.44 [حد ≥ 20] | سطح=MEDIUM;❌ CCI: CCI=-38.71 | سطح=MEDIUM;❌ SAR: SAR=4788.676, Close=4802.55, Dir=SHORT;❌ Stochastic: K=55.15, D=18.38, Dir=SHORT | سطح=MEDIUM;❌ Resistance Test: Res=4828.0000, Last=4802.5500;✅ Double Top/Bottom: Pattern=DoubleTop;❌ Volume Spike: Factor=1.00;❌ Divergence: واگرایی وجود ندارد;✅ حجم لحظه‌ای 1m: اسپایک حجم;❌ کندل‌های متوالی 1m: شرط برقرار نیست;✅ EMA کراس سریع: EMA8 بالای EMA21;❌ تأیید روند صعودی: شرایط کامل برقرار نیست;❌ فشار فروش: شرایط کامل برقرار نیست"
BTC-USDT,SHORT,LOW,77372.20000000,78344.76651100,75913.35023350,2026-02-02 00:17:34,OPEN,,,,,10.00,,"❌ قدرت کندل 15m: BS15=0.230 [حد ≥ 0.48];❌ قدرت کندل 5m: BS5=0.230 [حد ≥ 0.48];✅ روند EMA 1h: EMA21=78394.35, EMA55=80327.46;✅ روند EMA 4h: EMA21=81203.90, EMA55=84882.16, EMA200=88738.30;✅ RSI 30m: RSI=43.24 | سطح=MEDIUM;✅ MACD 30m: MACD_hist=-36.5934 | سطح=MEDIUM;✅ شکست ورود: Price=77372.20, EMA21=77814.78, Th=0.003 | سطح=MEDIUM;❌ EMA Rejection: EMA=77814.7803, Last=77372.2000;✅ Pullback: Last=77372.2000, Dir=SHORT;✅ ADX: ADX=82.31 [حد ≥ 20] | سطح=MEDIUM;✅ CCI: CCI=-89.32 | سطح=MEDIUM;❌ SAR: SAR=76626.874, Close=77372.2, Dir=SHORT;❌ Stochastic: K=40.19, D=13.40, Dir=SHORT | سطح=MEDIUM;❌ Resistance Test: Res=78445.5000, Last=77372.2000;✅ Double Top/Bottom: Pattern=DoubleTop;❌ Volume Spike: Factor=1.00;❌ Divergence: واگرایی وجود ندارد;❌ حجم لحظه‌ای 1m: اسپایک حجم وجود ندارد;❌ کندل‌های متوالی 1m: شرط برقرار نیست;✅ EMA کراس سریع: EMA8 بالای EMA21;❌ تأیید روند صعودی: شرایط کامل برقرار نیست;❌ فشار فروش: شرایط کامل برقرار نیست"
ETH-USDT,SHORT,LOW,2331.52000000,2383.76949850,2253.14575225,2026-02-02 00:17:34,OPEN,,,,,10.00,,"❌ قدرت کندل 15m: BS15=0.349 [حد ≥ 0.48];❌ قدرت کندل 5m: BS5=0.301 [حد ≥ 0.48];✅ روند EMA 1h: EMA21=2388.56, EMA55=2510.21;✅ روند EMA 4h: EMA21=2562.62, EMA55=2761.04, EMA200=2974.68;✅ RSI 30m: RSI=43.15 | سطح=MEDIUM;❌ MACD 30m: MACD_hist=1.5524 | سطح=MEDIUM;✅ شکست ورود: Price=2331.52, EMA21=2350.61, Th=0.003 | سطح=MEDIUM;❌ EMA Rejection: EMA=2350.6102, Last=2331.5200;✅ Pullback: Last=2331.5200, Dir=SHORT;✅ ADX: ADX=83.54 [حد ≥ 20] | سطح=MEDIUM;❌ CCI: CCI=-48.92 | سطح=MEDIUM;❌ SAR: SAR=2299.9788, Close=2331.52, Dir=SHORT;❌ Stochastic: K=44.66, D=14.89, Dir=SHORT | سطح=MEDIUM;❌ Resistance Test: Res=2378.1400, Last=2331.5200;✅ Double Top/Bottom: Pattern=DoubleBottom;❌ Volume Spike: Factor=1.00;❌ Divergence: واگرایی وجود ندارد;❌ حجم لحظه‌ای 1m: اسپایک حجم وجود ندارد;❌ کندل‌های متوالی 1m: شرط برقرار نیست;✅ EMA کراس سریع: EMA8 بالای EMA21;❌ تأیید روند صعودی: شرایط کامل برقرار نیست;❌ فشار فروش: شرایط کامل برقرار نیست"
BNB-USDT,SHORT,LOW,761.29800000,773.48876100,743.01185850,2026-02-02 00:17:35,OPEN,,,,,10.00,,"❌ قدرت کندل 15m: BS15=0.028 [حد ≥ 0.48];❌ قدرت کندل 5m: BS5=0.028 [حد ≥ 0.48];✅ روند EMA 1h: EMA21=771.38, EMA55=799.50;✅ روند EMA 4h: EMA21=810.30, EMA55=849.43, EMA200=880.11;✅ RSI 30m: RSI=47.21 | سطح=MEDIUM;❌ MACD 30m: MACD_hist=0.9981 | سطح=MEDIUM;❌ شکست ورود: Price=761.30, EMA21=762.09, Th=0.003 | سطح=MEDIUM;❌ EMA Rejection: EMA=762.0878, Last=761.2980;✅ Pullback: Last=761.2980, Dir=SHORT;✅ ADX: ADX=78.65 [حد ≥ 20] | سطح=MEDIUM;❌ CCI: CCI=-16.62 | سطح=MEDIUM;❌ SAR: SAR=751.9047, Close=761.298, Dir=SHORT;❌ Stochastic: K=75.58, D=25.19, Dir=SHORT | سطح=MEDIUM;❌ Resistance Test: Res=766.7410, Last=761.2980;✅ Double Top/Bottom: Pattern=DoubleTop;❌ Volume Spike: Factor=1.00;❌ Divergence: واگرایی وجود ندارد;❌ حجم لحظه‌ای 1m: اسپایک حجم وجود ندارد;❌ کندل‌های متوالی 1m: شرط برقرار نیست;✅ EMA کراس سریع: EMA8 بالای EMA21;❌ تأیید روند صعودی: شرایط کامل برقرار نیست;❌ فشار فروش: شرایط کامل برقرار نیست"
SOL-USDT,SHORT,LOW,102.29000000,104.50867250,98.96199125,2026-02-02 00:17:35,OPEN,,,,,10.00,,"❌ قدرت کندل 15m: BS15=0.111 [حد ≥ 0.48];❌ قدرت کندل 5m: BS5=0.111 [حد ≥ 0.48];✅ روند EMA 1h: EMA21=104.27, EMA55=108.63;✅ روند EMA 4h: EMA21=110.50, EMA55=118.26, EMA200=127.65;✅ RSI 30m: RSI=45.67 | سطح=MEDIUM;✅ MACD 30m: MACD_hist=-0.0274 | سطح=MEDIUM;✅ شکست ورود: Price=102.29, EMA21=102.95, Th=0.003 | سطح=MEDIUM;❌ EMA Rejection: EMA=102.9498, Last=102.2900;✅ Pullback: Last=102.2900, Dir=SHORT;✅ ADX: ADX=93.06 [حد ≥ 20] | سطح=MEDIUM;❌ CCI: CCI=-66.92 | سطح=MEDIUM;❌ SAR: SAR=100.253, Close=102.29, Dir=SHORT;❌ Stochastic: K=45.43, D=15.14, Dir=SHORT | سطح=MEDIUM;❌ Resistance Test: Res=104.2300, Last=102.2900;❌ Double Top/Bottom: Pattern=None;❌ Volume Spike: Factor=1.00;❌ Divergence: واگرایی وجود ندارد;❌ حجم لحظه‌ای 1m: اسپایک حجم وجود ندارد;❌ کندل‌های متوالی 1m: شرط برقرار نیست;✅ EMA کراس سریع: EMA8 بالای EMA21;❌ تأیید روند صعودی: شرایط کامل برقرار نیست;❌ فشار فروش: شرایط کامل برقرار نیست"
XRP-USDT,SHORT,LOW,1.60591000,1.63587850,1.56095725,2026-02-02 00:17:36,OPEN,,,,,10.00,,"❌ قدرت کندل 15m: BS15=0.351 [حد ≥ 0.48];❌ قدرت کندل 5m: BS5=0.351 [حد ≥ 0.48];✅ روند EMA 1h: EMA21=1.63, EMA55=1.67;✅ روند EMA 4h: EMA21=1.70, EMA55=1.80, EMA200=1.93;✅ RSI 30m: RSI=45.63 | سطح=MEDIUM;✅ MACD 30m: MACD_hist=-0.0000 | سطح=MEDIUM;✅ شکست ورود: Price=1.61, EMA21=1.61, Th=0.003 | سطح=MEDIUM;❌ EMA Rejection: EMA=1.6139, Last=1.6059;✅ Pullback: Last=1.6059, Dir=SHORT;✅ ADX: ADX=80.42 [حد ≥ 20] | سطح=MEDIUM;❌ CCI: CCI=-51.58 | سطح=MEDIUM;❌ SAR: SAR=1.5806, Close=1.60591, Dir=SHORT;❌ Stochastic: K=51.65, D=17.22, Dir=SHORT | سطح=MEDIUM;❌ Resistance Test: Res=1.6269, Last=1.6059;✅ Double Top/Bottom: Pattern=DoubleTop;❌ Volume Spike: Factor=1.00;❌ Divergence: واگرایی وجود ندارد;❌ حجم لحظه‌ای 1m: اسپایک حجم وجود ندارد;❌ کندل‌های متوالی 1m: شرط برقرار نیست;✅ EMA کراس سریع: EMA8 بالای EMA21;❌ تأیید روند صعودی: شرایط کامل برقرار نیست;❌ فشار فروش: شرایط کامل برقرار نیست"
ADA-USDT,SHORT,LOW,0.28870000,0.29329720,0.27950560,2026-02-02 00:17:39,OPEN,,,,,10.00,,"✅ قدرت کندل 15m: BS15=0.556 [حد ≥ 0.48];✅ قدرت کندل 5m: BS5=0.556 [حد ≥ 0.48];✅ روند EMA 1h: EMA21=0.29, EMA55=0.30;✅ روند EMA 4h: EMA21=0.31, EMA55=0.33, EMA200=0.36;✅ RSI 30m: RSI=46.17 | سطح=MEDIUM;✅ MACD 30m: MACD_hist=-0.0002 | سطح=MEDIUM;✅ شکست ورود: Price=0.29, EMA21=0.29, Th=0.003 | سطح=MEDIUM;❌ EMA Rejection: EMA=0.2900, Last=0.2887;✅ Pullback: Last=0.2887, Dir=SHORT;✅ ADX: ADX=78.82 [حد ≥ 20] | سطح=MEDIUM;❌ CCI: CCI=-58.15 | سطح=MEDIUM;❌ SAR: SAR=0.2845, Close=0.2887, Dir=SHORT;❌ Stochastic: K=39.81, D=13.27, Dir=SHORT | سطح=MEDIUM;❌ Resistance Test: Res=0.2928, Last=0.2887;✅ Double Top/Bottom: Pattern=DoubleTop;❌ Volume Spike: Factor=1.00;❌ Divergence: واگرایی وجود ندارد;❌ حجم لحظه‌ای 1m: اسپایک حجم وجود ندارد;❌ کندل‌های متوالی 1m: شرط برقرار نیست;✅ EMA کراس سریع: EMA8 بالای EMA21;❌ تأیید روند صعودی: شرایط کامل برقرار نیست;❌ فشار فروش: شرایط کامل برقرار نیست"
DOGE-USDT,SHORT,HIGH,0.10514000,0.10729100,0.10191350,2026-02-02 00:17:40,OPEN,,,,,10.00,,"❌ قدرت کندل 15m: BS15=0.429 [حد ≥ 0.48];❌ قدرت کندل 5m: BS5=0.429 [حد ≥ 0.48];✅ روند EMA 1h: EMA21=0.11, EMA55=0.11;✅ روند EMA 4h: EMA21=0.11, EMA55=0.12, EMA200=0.13;❌ RSI 30m: RSI=51.58 | سطح=MEDIUM;✅ MACD 30m: MACD_hist=-0.0000 | سطح=MEDIUM;❌ شکست ورود: Price=0.11, EMA21=0.10, Th=0.003 | سطح=MEDIUM;❌ EMA Rejection: EMA=0.1047, Last=0.1051;✅ Pullback: Last=0.1051, Dir=SHORT;✅ ADX: ADX=87.84 [حد ≥ 20] | سطح=MEDIUM;❌ CCI: CCI=-8.03 | سطح=MEDIUM;❌ SAR: SAR=0.1032, Close=0.10514, Dir=SHORT;❌ Stochastic: K=67.46, D=22.49, Dir=SHORT | سطح=MEDIUM;❌ Resistance Test: Res=0.1063, Last=0.1051;✅ Double Top/Bottom: Pattern=DoubleTop;❌ Volume Spike: Factor=1.00;❌ Divergence: واگرایی وجود ندارد;❌ حجم لحظه‌ای 1m: اسپایک حجم وجود ندارد;❌ کندل‌های متوالی 1m: شرط برقرار نیست;✅ EMA کراس سریع: EMA8 بالای EMA21;❌ تأیید روند صعودی: شرایط کامل برقرار نیست;❌ فشار فروش: شرایط کامل برقرار نیست"
DOT-USDT,SHORT,LOW,1.51070000,1.53928550,1.46782175,2026-02-02 00:17:40,OPEN,,,,,10.00,,"✅ قدرت کندل 15m: BS15=0.694 [حد ≥ 0.48];✅ قدرت کندل 5m: BS5=0.694 [حد ≥ 0.48];✅ روند EMA 1h: EMA21=1.53, EMA55=1.59;✅ روند EMA 4h: EMA21=1.62, EMA55=1.75, EMA200=1.92;✅ RSI 30m: RSI=46.66 | سطح=MEDIUM;❌ MACD 30m: MACD_hist=0.0003 | سطح=MEDIUM;✅ شکست ورود: Price=1.51, EMA21=1.52, Th=0.003 | سطح=MEDIUM;❌ EMA Rejection: EMA=1.5153, Last=1.5107;✅ Pullback: Last=1.5107, Dir=SHORT;✅ ADX: ADX=76.95 [حد ≥ 20] | سطح=MEDIUM;❌ CCI: CCI=-41.52 | سطح=MEDIUM;❌ SAR: SAR=1.4898, Close=1.5107, Dir=SHORT;❌ Stochastic: K=51.18, D=17.06, Dir=SHORT | سطح=MEDIUM;❌ Resistance Test: Res=1.5312, Last=1.5107;❌ Double Top/Bottom: Pattern=None;❌ Volume Spike: Factor=1.00;❌ Divergence: واگرایی وجود ندارد;❌ حجم لحظه‌ای 1m: اسپایک حجم وجود ندارد;❌ کندل‌های متوالی 1m: شرط برقرار نیست;✅ EMA کراس سریع: EMA8 بالای EMA21;❌ تأیید روند صعودی: شرایط کامل برقرار نیست;❌ فشار فروش: شرایط کامل برقرار نیست"
POL-USDT,SHORT,LOW,0.10390000,0.10578100,0.10107850,2026-02-02 00:17:41,OPEN,,,,,10.00,,"❌ قدرت کندل 15m: BS15=0.333 [حد ≥ 0.48];❌ قدرت کندل 5m: BS5=0.333 [حد ≥ 0.48];✅ روند EMA 1h: EMA21=0.10, EMA55=0.11;✅ روند EMA 4h: EMA21=0.11, EMA55=0.12, EMA200=0.13;✅ RSI 30m: RSI=47.79 | سطح=MEDIUM;❌ MACD 30m: MACD_hist=0.0000 | سطح=MEDIUM;❌ شکست ورود: Price=0.10, EMA21=0.10, Th=0.003 | سطح=MEDIUM;❌ EMA Rejection: EMA=0.1041, Last=0.1039;✅ Pullback: Last=0.1039, Dir=SHORT;✅ ADX: ADX=46.15 [حد ≥ 20] | سطح=MEDIUM;❌ CCI: CCI=-27.29 | سطح=MEDIUM;❌ SAR: SAR=0.1026, Close=0.1039, Dir=SHORT;❌ Stochastic: K=67.65, D=22.55, Dir=SHORT | سطح=MEDIUM;❌ Resistance Test: Res=0.1050, Last=0.1039;❌ Double Top/Bottom: Pattern=None;❌ Volume Spike: Factor=1.00;❌ Divergence: واگرایی وجود ندارد;❌ حجم لحظه‌ای 1m: اسپایک حجم وجود ندارد;❌ کندل‌های متوالی 1m: شرط برقرار نیست;✅ EMA کراس سریع: EMA8 بالای EMA21;❌ تأیید روند صعودی: شرایط کامل برقرار نیست;❌ فشار فروش: شرایط کامل برقرار نیست"
