symbol,direction,risk_level,entry_price,stop_loss,take_profit,issued_at_tehran,status,hit_time_tehran,hit_price,broker_fee,final_pnl_usd,position_size_usd,return_pct,signal_source
BNB-USDT,LONG,MEDIUM,599.34500000,591.98165500,614.07169000,2026-08-05 08:26:46,OPEN,,,,,10.00,,"❌ قدرت کندل 15m: BS15=0.247 [≥ 0.48];✅ قدرت کندل 5m: BS5=0.844 [≥ 0.48];✅ روند EMA 1h: EMA21=595.30, EMA50=591.96;✅ روند EMA 4h: EMA21=590.34, EMA50=584.77, EMA200=575.75;✅ RSI 30m: RSI=58.45;✅ MACD 30m: MACD_hist=0.1637;❌ ورود هوشمند پولبک: قیمت=599.3450 EMA=597.0141 RSI=58.5 BS15=0.247;❌ ADX: ADX=0.45 [>25], DI+=387.69, DI-=384.22;✅ CCI عبور از ۰: CCI=59.80;✅ SAR: SAR=598.1624, قیمت=599.3450;✅ Stochastic کراس: K=51.98 D=17.33;❌ رد EMA: بدون رد;❌ تست مقاومت: بدون تست;✅ پولبک: پولبک تشخیص داده شد;✅ Double Top/Bottom: الگو=DoubleTop;❌ فیلتر رنج: فاصله EMA=0.0045 [>0.005];✅ فیلتر رنج ترکیبی: diff=0.0045, ADX=0.45 -> ✅ OK"
DOT-USDT,LONG,MEDIUM,0.84730000,0.84295270,0.85599460,2026-08-05 08:26:47,OPEN,,,,,10.00,,"✅ قدرت کندل 15m: BS15=0.826 [≥ 0.48];✅ قدرت کندل 5m: BS5=0.500 [≥ 0.48];✅ روند EMA 1h: EMA21=0.85, EMA50=0.83;❌ روند EMA 4h: EMA21=0.82, EMA50=0.80, EMA200=0.82;✅ RSI 30m: RSI=48.08;❌ MACD 30m: MACD_hist=-0.0023;✅ ورود هوشمند پولبک: قیمت=0.8473 EMA=0.8504 RSI=48.1 BS15=0.826;❌ ADX: ADX=22.65 [>25], DI+=212.58, DI-=337.09;❌ CCI عبور از ۰: CCI=-59.74;✅ SAR: SAR=0.8451, قیمت=0.8473;❌ Stochastic کراس: K=13.36 D=4.45;❌ رد EMA: بدون رد;❌ تست مقاومت: بدون تست;✅ پولبک: پولبک تشخیص داده شد;✅ Double Top/Bottom: الگو=DoubleTop;✅ فیلتر رنج: فاصله EMA=0.0088 [>0.005];✅ فیلتر رنج ترکیبی: diff=0.0088, ADX=22.65 -> ✅ OK"
POL-USDT,LONG,MEDIUM,0.07470000,0.07432530,0.07544940,2026-08-05 08:26:47,OPEN,,,,,10.00,,"✅ قدرت کندل 15m: BS15=0.500 [≥ 0.48];✅ قدرت کندل 5m: BS5=0.500 [≥ 0.48];✅ روند EMA 1h: EMA21=0.07, EMA50=0.07;❌ روند EMA 4h: EMA21=0.07, EMA50=0.07, EMA200=0.08;✅ RSI 30m: RSI=51.55;❌ MACD 30m: MACD_hist=-0.0001;❌ ورود هوشمند پولبک: قیمت=0.0747 EMA=0.0747 RSI=51.5 BS15=0.500;❌ ADX: ADX=22.22 [>25], DI+=342.22, DI-=217.78;❌ CCI عبور از ۰: CCI=-27.49;✅ SAR: SAR=0.0745, قیمت=0.0747;✅ Stochastic کراس: K=33.33 D=11.11;✅ رد EMA: رد EMA تشخیص داده شد;❌ تست مقاومت: بدون تست;✅ پولبک: پولبک تشخیص داده شد;✅ Double Top/Bottom: الگو=DoubleTop;❌ فیلتر رنج: فاصله EMA=0.0047 [>0.005];✅ فیلتر رنج ترکیبی: diff=0.0047, ADX=22.22 -> ✅ OK"
BNB-USDT,LONG,MEDIUM,598.58300000,597.41841700,600.91216600,2026-08-05 11:04:41,OPEN,,,,,10.00,,"✅ قدرت کندل 15m: BS15=0.495 [≥ 0.48];✅ قدرت کندل 5m: BS5=0.495 [≥ 0.48];✅ روند EMA 1h: EMA21=596.63, EMA50=592.95;✅ روند EMA 4h: EMA21=590.27, EMA50=584.74, EMA200=575.74;✅ RSI 30m: RSI=52.10;❌ MACD 30m: MACD_hist=-0.2838;❌ ورود هوشمند پولبک: قیمت=598.5830 EMA=598.5825 RSI=52.1 BS15=0.495;❌ ADX: ADX=28.86 [>25], DI+=211.26, DI-=382.69;✅ CCI عبور از ۰: CCI=2.85;❌ SAR: SAR=598.9133, قیمت=598.5830;✅ Stochastic کراس: K=26.92 D=8.97;❌ رد EMA: بدون رد;❌ تست مقاومت: بدون تست;✅ پولبک: پولبک تشخیص داده شد;✅ Double Top/Bottom: الگو=DoubleTop;❌ فیلتر رنج: فاصله EMA=0.0048 [>0.005];✅ فیلتر رنج ترکیبی: diff=0.0048, ADX=28.86 -> ✅ OK"
SOL-USDT,LONG,MEDIUM,73.76000000,73.56624000,74.14752000,2026-08-05 11:04:42,OPEN,,,,,10.00,,"✅ قدرت کندل 15m: BS15=0.750 [≥ 0.48];✅ قدرت کندل 5m: BS5=0.750 [≥ 0.48];✅ روند EMA 1h: EMA21=73.89, EMA50=73.69;❌ روند EMA 4h: EMA21=73.58, EMA50=73.79, EMA200=74.92;✅ RSI 30m: RSI=46.03;❌ MACD 30m: MACD_hist=-0.0207;✅ ورود هوشمند پولبک: قیمت=73.7600 EMA=73.9254 RSI=46.0 BS15=0.750;❌ ADX: ADX=43.28 [>25], DI+=122.02, DI-=308.26;❌ CCI عبور از ۰: CCI=-67.28;✅ SAR: SAR=73.7004, قیمت=73.7600;✅ Stochastic کراس: K=32.11 D=10.70;❌ رد EMA: بدون رد;❌ تست مقاومت: بدون تست;✅ پولبک: پولبک تشخیص داده شد;✅ Double Top/Bottom: الگو=DoubleTop;❌ فیلتر رنج: فاصله EMA=0.0011 [>0.005];✅ فیلتر رنج ترکیبی: diff=0.0011, ADX=43.28 -> ✅ OK"
LTC-USDT,LONG,MEDIUM,44.87000000,44.69513000,45.21974000,2026-08-05 11:04:42,OPEN,,,,,10.00,,"✅ قدرت کندل 15m: BS15=0.667 [≥ 0.48];✅ قدرت کندل 5m: BS5=0.667 [≥ 0.48];✅ روند EMA 1h: EMA21=44.79, EMA50=44.64;❌ روند EMA 4h: EMA21=44.60, EMA50=44.98, EMA200=44.82;✅ RSI 30m: RSI=50.29;❌ MACD 30m: MACD_hist=-0.0354;❌ ورود هوشمند پولبک: قیمت=44.8700 EMA=44.8955 RSI=50.3 BS15=0.667;❌ ADX: ADX=20.35 [>25], DI+=211.41, DI-=319.46;❌ CCI عبور از ۰: CCI=-74.32;✅ SAR: SAR=44.8206, قیمت=44.8700;✅ Stochastic کراس: K=22.03 D=7.34;✅ رد EMA: رد EMA تشخیص داده شد;❌ تست مقاومت: بدون تست;✅ پولبک: پولبک تشخیص داده شد;✅ Double Top/Bottom: الگو=DoubleTop;❌ فیلتر رنج: فاصله EMA=0.0034 [>0.005];✅ فیلتر رنج ترکیبی: diff=0.0034, ADX=20.35 -> ✅ OK"
ADA-USDT,LONG,LOW,0.19450000,0.19010550,0.20328900,2026-08-05 13:56:18,OPEN,,,,,10.00,,"✅ قدرت کندل 15m: BS15=0.667 [≥ 0.48];❌ قدرت کندل 5m: BS5=0.250 [≥ 0.48];✅ روند EMA 1h: EMA21=0.19, EMA50=0.19;✅ روند EMA 4h: EMA21=0.19, EMA50=0.18, EMA200=0.17;✅ RSI 30m: RSI=56.51;❌ MACD 30m: MACD_hist=0.0006;❌ ورود هوشمند پولبک: قیمت=0.1945 EMA=0.1931 RSI=56.5 BS15=0.667;✅ ADX: ADX=34.38 [>25], DI+=404.03, DI-=197.32;❌ CCI عبور از ۰: CCI=131.16 [اشباع خرید];❌ SAR: SAR=0.1950, قیمت=0.1945;✅ Stochastic کراس: K=50.55 D=16.85;❌ رد EMA: بدون رد;❌ تست مقاومت: بدون تست;✅ پولبک: پولبک تشخیص داده شد;✅ Double Top/Bottom: الگو=DoubleBottom;❌ فیلتر رنج: فاصله EMA=0.0016 [>0.005];✅ فیلتر رنج ترکیبی: diff=0.0016, ADX=34.38 -> ✅ OK"
DOT-USDT,LONG,MEDIUM,0.84830000,0.84485170,0.85692075,2026-08-05 13:56:19,OPEN,,,,,10.00,,"✅ قدرت کندل 15m: BS15=0.741 [≥ 0.48];❌ قدرت کندل 5m: BS5=1.000 [خیلی بالا - احتمال پایان حرکت];✅ روند EMA 1h: EMA21=0.85, EMA50=0.84;❌ روند EMA 4h: EMA21=0.82, EMA50=0.81, EMA200=0.82;✅ RSI 30m: RSI=46.63;❌ MACD 30m: MACD_hist=-0.0007;✅ ورود هوشمند پولبک: قیمت=0.8483 EMA=0.8514 RSI=46.6 BS15=0.741;❌ ADX: ADX=20.48 [>25], DI+=207.72, DI-=137.09;❌ CCI عبور از ۰: CCI=-53.83;❌ SAR: SAR=0.8502, قیمت=0.8483;✅ Stochastic کراس: K=25.93 D=8.64;✅ رد EMA: رد EMA تشخیص داده شد;❌ تست مقاومت: بدون تست;✅ پولبک: پولبک تشخیص داده شد;✅ Double Top/Bottom: الگو=DoubleTop;✅ فیلتر رنج: فاصله EMA=0.0062 [>0.005];✅ فیلتر رنج ترکیبی: diff=0.0062, ADX=20.48 -> ✅ OK"
XAUT-USDT,LONG,MEDIUM,4221.07000000,4131.32893000,4400.55214000,2026-08-05 18:13:09,OPEN,,,,,10.00,,"❌ قدرت کندل 15m: BS15=0.028 [≥ 0.48];❌ قدرت کندل 5m: BS5=0.981 [خیلی بالا - احتمال پایان حرکت];✅ روند EMA 1h: EMA21=4134.03, EMA50=4096.98;✅ روند EMA 4h: EMA21=4089.85, EMA50=4069.02, EMA200=4066.78;❌ RSI 30m: RSI=77.64;✅ MACD 30m: MACD_hist=4.5779;❌ ورود هوشمند پولبک: قیمت=4221.0700 EMA=4162.0849 RSI=77.6 BS15=0.028;✅ ADX: ADX=55.24 [>25], DI+=655.34, DI-=188.97;❌ CCI عبور از ۰: CCI=190.24 [اشباع خرید];✅ SAR: SAR=4190.1160, قیمت=4221.0700;❌ Stochastic کراس: K=97.53 [اشباع خرید];❌ رد EMA: بدون رد;❌ تست مقاومت: بدون تست;✅ پولبک: پولبک تشخیص داده شد;✅ Double Top/Bottom: الگو=DoubleTop;✅ فیلتر رنج: فاصله EMA=0.0088 [>0.005];✅ فیلتر رنج ترکیبی: diff=0.0088, ADX=55.24 -> ✅ OK"
XAUT-USDT,LONG,LOW,4221.79000000,4156.05821000,4386.11947500,2026-08-05 19:56:18,OPEN,,,,,10.00,,"✅ قدرت کندل 15m: BS15=0.696 [≥ 0.48];❌ قدرت کندل 5m: BS5=0.000 [≥ 0.48];✅ روند EMA 1h: EMA21=4149.20, EMA50=4106.56;✅ روند EMA 4h: EMA21=4101.44, EMA50=4074.82, EMA200=4068.12;✅ RSI 30m: RSI=69.95;✅ MACD 30m: MACD_hist=3.6194;❌ ورود هوشمند پولبک: قیمت=4221.7900 EMA=4178.1322 RSI=69.9 BS15=0.696;✅ ADX: ADX=54.26 [>25], DI+=643.65, DI-=190.87;❌ CCI عبور از ۰: CCI=108.23 [اشباع خرید];✅ SAR: SAR=4215.8932, قیمت=4221.7900;❌ Stochastic کراس: K=79.02 D=26.34;❌ رد EMA: بدون رد;❌ تست مقاومت: بدون تست;✅ پولبک: پولبک تشخیص داده شد;✅ Double Top/Bottom: الگو=DoubleTop;✅ فیلتر رنج: فاصله EMA=0.0099 [>0.005];✅ فیلتر رنج ترکیبی: diff=0.0099, ADX=54.26 -> ✅ OK"
