symbol,direction,risk_level,entry_price,stop_loss,take_profit,issued_at_tehran,status,hit_time_tehran,hit_price,broker_fee,final_pnl_usd,position_size_usd,return_pct,signal_source
ADA-USDT,LONG,MEDIUM,0.28040000,0.27873320,0.28373360,2026-02-22 00:16:04,OPEN,,,,,10.00,,"✅ قدرت کندل 15m: BS15=0.500 [حد ≥ 0.48];✅ قدرت کندل 5m: BS5=0.500 [حد ≥ 0.48];✅ روند EMA 1h: EMA21=0.28, EMA55=0.28;❌ روند EMA 4h: EMA21=0.28, EMA55=0.28, EMA200=0.30;❌ RSI 30m: RSI=41.64 | سطح=MEDIUM;❌ MACD 30m: MACD_hist=-0.0001 | سطح=MEDIUM;❌ شکست ورود: قیمت=0.28, EMA21=0.28, آستانه=0.003;✅ ADX: ADX=55.06 [حد > 25];❌ CCI: CCI=-89.45;✅ SAR: SAR=0.2803, قیمت=0.2804;❌ Stochastic: K=16.07, D=5.36;✅ رد EMA: رد EMA تشخیص داده شد;❌ تست مقاومت: بدون تست;✅ پولبک: پولبک تشخیص داده شد;✅ Double Top/Bottom: الگو=DoubleTop"
LTC-USDT,LONG,MEDIUM,55.26000000,54.93935760,55.90128480,2026-02-22 00:16:05,OPEN,,,,,10.00,,"✅ قدرت کندل 15m: BS15=0.750 [حد ≥ 0.48];✅ قدرت کندل 5m: BS5=0.750 [حد ≥ 0.48];✅ روند EMA 1h: EMA21=55.17, EMA55=54.61;❌ روند EMA 4h: EMA21=54.50, EMA55=54.49, EMA200=60.12;❌ RSI 30m: RSI=48.74 | سطح=MEDIUM;❌ MACD 30m: MACD_hist=-0.0364 | سطح=MEDIUM;❌ شکست ورود: قیمت=55.26, EMA21=55.33, آستانه=0.003;✅ ADX: ADX=33.73 [حد > 25];❌ CCI: CCI=-34.39;✅ SAR: SAR=55.2188, قیمت=55.2600;❌ Stochastic: K=16.47, D=5.49;✅ رد EMA: رد EMA تشخیص داده شد;❌ تست مقاومت: بدون تست;✅ پولبک: پولبک تشخیص داده شد;✅ Double Top/Bottom: الگو=DoubleBottom"
TRX-USDT,LONG,MEDIUM,0.28900000,0.28852500,0.29018750,2026-02-22 00:16:05,OPEN,,,,,10.00,,"✅ قدرت کندل 15m: BS15=1.000 [حد ≥ 0.48];✅ قدرت کندل 5m: BS5=1.000 [حد ≥ 0.48];✅ روند EMA 1h: EMA21=0.29, EMA55=0.29;❌ روند EMA 4h: EMA21=0.28, EMA55=0.28, EMA200=0.28;✅ RSI 30m: RSI=79.43 | سطح=MEDIUM;✅ MACD 30m: MACD_hist=0.0002 | سطح=MEDIUM;✅ شکست ورود: قیمت=0.29, EMA21=0.29, آستانه=0.003;✅ ADX: ADX=51.35 [حد > 25];✅ CCI: CCI=133.33;✅ SAR: SAR=0.2889, قیمت=0.2890;✅ Stochastic: K=94.12, D=31.37;❌ رد EMA: بدون رد;❌ تست مقاومت: بدون تست;✅ پولبک: پولبک تشخیص داده شد;✅ Double Top/Bottom: الگو=DoubleTop"
AVAX-USDT,LONG,MEDIUM,9.20100000,9.14544480,9.31211040,2026-02-22 00:16:06,OPEN,,,,,10.00,,"✅ قدرت کندل 15m: BS15=0.733 [حد ≥ 0.48];✅ قدرت کندل 5m: BS5=0.733 [حد ≥ 0.48];✅ روند EMA 1h: EMA21=9.23, EMA55=9.15;❌ روند EMA 4h: EMA21=9.13, EMA55=9.14, EMA200=10.16;❌ RSI 30m: RSI=42.64 | سطح=MEDIUM;❌ MACD 30m: MACD_hist=-0.0108 | سطح=MEDIUM;❌ شکست ورود: قیمت=9.20, EMA21=9.26, آستانه=0.003;✅ ADX: ADX=45.75 [حد > 25];❌ CCI: CCI=-121.41;❌ SAR: SAR=9.2461, قیمت=9.2010;❌ Stochastic: K=1.20, D=0.40;✅ رد EMA: رد EMA تشخیص داده شد;✅ تست مقاومت: تست مقاومت تایید شد;✅ پولبک: پولبک تشخیص داده شد;✅ Double Top/Bottom: الگو=DoubleTop"
NEAR-USDT,LONG,MEDIUM,1.05810000,1.04955720,1.07518560,2026-02-22 00:16:06,OPEN,,,,,10.00,,"✅ قدرت کندل 15m: BS15=0.833 [حد ≥ 0.48];✅ قدرت کندل 5m: BS5=0.833 [حد ≥ 0.48];✅ روند EMA 1h: EMA21=1.06, EMA55=1.05;❌ روند EMA 4h: EMA21=1.04, EMA55=1.04, EMA200=1.19;❌ RSI 30m: RSI=45.60 | سطح=MEDIUM;❌ MACD 30m: MACD_hist=-0.0011 | سطح=MEDIUM;❌ شکست ورود: قیمت=1.06, EMA21=1.06, آستانه=0.003;✅ ADX: ADX=61.37 [حد > 25];❌ CCI: CCI=-38.04;✅ SAR: SAR=1.0539, قیمت=1.0581;❌ Stochastic: K=27.78, D=9.26;✅ رد EMA: رد EMA تشخیص داده شد;❌ تست مقاومت: بدون تست;✅ پولبک: پولبک تشخیص داده شد;✅ Double Top/Bottom: الگو=DoubleBottom"
BTC-USDT,LONG,MEDIUM,67945.90000000,67751.11830280,68335.46339440,2026-02-22 09:02:46,OPEN,,,,,10.00,,"✅ قدرت کندل 15m: BS15=0.933 [حد ≥ 0.48];✅ قدرت کندل 5m: BS5=0.933 [حد ≥ 0.48];✅ روند EMA 1h: EMA21=68086.63, EMA55=67889.78;❌ روند EMA 4h: EMA21=67826.61, EMA55=68239.96, EMA200=74754.88;❌ RSI 30m: RSI=43.17 | سطح=MEDIUM;❌ MACD 30m: MACD_hist=-15.1657 | سطح=MEDIUM;❌ شکست ورود: قیمت=67945.90, EMA21=68076.17, آستانه=0.003;✅ ADX: ADX=72.98 [حد > 25];❌ CCI: CCI=-70.78;✅ SAR: SAR=67889.9400, قیمت=67945.9000;❌ Stochastic: K=32.28, D=10.76;✅ رد EMA: رد EMA تشخیص داده شد;❌ تست مقاومت: بدون تست;✅ پولبک: پولبک تشخیص داده شد;✅ Double Top/Bottom: الگو=DoubleTop"
ETH-USDT,LONG,MEDIUM,1973.49000000,1966.77652680,1986.91694640,2026-02-22 09:02:47,OPEN,,,,,10.00,,"✅ قدرت کندل 15m: BS15=0.596 [حد ≥ 0.48];✅ قدرت کندل 5m: BS5=0.596 [حد ≥ 0.48];✅ روند EMA 1h: EMA21=1975.45, EMA55=1970.80;❌ روند EMA 4h: EMA21=1971.19, EMA55=1994.04, EMA200=2301.63;❌ RSI 30m: RSI=46.15 | سطح=MEDIUM;❌ MACD 30m: MACD_hist=-0.3474 | سطح=MEDIUM;❌ شکست ورود: قیمت=1973.49, EMA21=1975.72, آستانه=0.003;✅ ADX: ADX=43.14 [حد > 25];❌ CCI: CCI=-45.99;✅ SAR: SAR=1971.0890, قیمت=1973.4900;❌ Stochastic: K=38.51, D=12.84;✅ رد EMA: رد EMA تشخیص داده شد;❌ تست مقاومت: بدون تست;✅ پولبک: پولبک تشخیص داده شد;✅ Double Top/Bottom: الگو=DoubleTop"
XAUT-USDT,LONG,MEDIUM,5096.23000000,5091.76510360,5105.15979280,2026-02-22 11:00:31,OPEN,,,,,10.00,,"✅ قدرت کندل 15m: BS15=0.890 [حد ≥ 0.48];✅ قدرت کندل 5m: BS5=0.993 [حد ≥ 0.48];✅ روند EMA 1h: EMA21=5098.11, EMA55=5069.66;✅ روند EMA 4h: EMA21=5046.43, EMA55=5004.97, EMA200=4904.47;❌ RSI 30m: RSI=43.01 | سطح=MEDIUM;❌ MACD 30m: MACD_hist=-0.5693 | سطح=MEDIUM;❌ شکست ورود: قیمت=5096.23, EMA21=5100.45, آستانه=0.003;✅ ADX: ADX=57.22 [حد > 25];❌ CCI: CCI=-65.36;❌ SAR: SAR=5098.0916, قیمت=5096.2300;❌ Stochastic: K=37.59, D=12.53;✅ رد EMA: رد EMA تشخیص داده شد;❌ تست مقاومت: بدون تست;✅ پولبک: پولبک تشخیص داده شد;✅ Double Top/Bottom: الگو=DoubleTop"
BTC-USDT,LONG,MEDIUM,68016.90000000,67835.36894400,68379.96211200,2026-02-22 11:00:31,OPEN,,,,,10.00,,"✅ قدرت کندل 15m: BS15=0.991 [حد ≥ 0.48];✅ قدرت کندل 5m: BS5=0.991 [حد ≥ 0.48];✅ روند EMA 1h: EMA21=68078.97, EMA55=67900.60;❌ روند EMA 4h: EMA21=67833.06, EMA55=68242.49, EMA200=74755.58;❌ RSI 30m: RSI=46.67 | سطح=MEDIUM;✅ MACD 30m: MACD_hist=5.7370 | سطح=MEDIUM;❌ شکست ورود: قیمت=68016.90, EMA21=68068.89, آستانه=0.003;✅ ADX: ADX=36.81 [حد > 25];❌ CCI: CCI=-10.07;✅ SAR: SAR=67991.1240, قیمت=68016.9000;❌ Stochastic: K=48.37, D=16.12;✅ رد EMA: رد EMA تشخیص داده شد;❌ تست مقاومت: بدون تست;✅ پولبک: پولبک تشخیص داده شد;✅ Double Top/Bottom: الگو=DoubleTop"
XAUT-USDT,LONG,MEDIUM,5098.25000000,5094.69282600,5107.14293500,2026-02-22 11:51:31,OPEN,,,,,10.00,,"✅ قدرت کندل 15m: BS15=1.000 [حد ≥ 0.48];✅ قدرت کندل 5m: BS5=1.000 [حد ≥ 0.48];✅ روند EMA 1h: EMA21=5098.29, EMA55=5070.75;✅ روند EMA 4h: EMA21=5051.31, EMA55=5008.37, EMA200=4906.05;❌ RSI 30m: RSI=46.39 | سطح=MEDIUM;❌ MACD 30m: MACD_hist=-0.2085 | سطح=MEDIUM;❌ شکست ورود: قیمت=5098.25, EMA21=5100.07, آستانه=0.003;✅ ADX: ADX=59.39 [حد > 25];❌ CCI: CCI=-24.06;✅ SAR: SAR=5096.3124, قیمت=5098.2500;❌ Stochastic: K=60.89, D=20.30;✅ رد EMA: رد EMA تشخیص داده شد;❌ تست مقاومت: بدون تست;✅ پولبک: پولبک تشخیص داده شد;✅ Double Top/Bottom: الگو=DoubleTop"
