symbol,direction,risk_level,entry_price,stop_loss,take_profit,issued_at_tehran,status,hit_time_tehran,hit_price,broker_fee,final_pnl_usd,position_size_usd,return_pct,signal_source
XAUT-USDT,LONG,LOW,4927.27000000,4911.70790920,4958.39418160,2026-01-23 00:18:00,OPEN,,,,,10.00,,"✅ قدرت کندل 15m: BS15=1.000 [حد ≥ 0.48];✅ قدرت کندل 5m: BS5=1.000 [حد ≥ 0.48];✅ روند EMA 1h: EMA21=4860.35, EMA55=4819.96;✅ روند EMA 4h: EMA21=4800.64, EMA55=4702.60, EMA200=4522.73;✅ RSI 30m: RSI=74.94 | سطح=MEDIUM;✅ MACD 30m: MACD_hist=5.4461 | سطح=MEDIUM;✅ شکست ورود: Price=4927.27, EMA21=4881.46, Th=0.003 | سطح=MEDIUM;❌ EMA Rejection: EMA=4881.4573, Last=4927.2700;✅ Pullback: Last=4927.2700, Dir=LONG;✅ ADX: ADX=26.46 [حد ≥ 20] | سطح=MEDIUM;✅ CCI: CCI=103.61 | سطح=MEDIUM;✅ SAR: SAR=4913.8246, Close=4927.27, Dir=LONG;❌ Stochastic: K=98.91, D=32.97, Dir=LONG | سطح=MEDIUM;❌ Resistance Test: Res=4928.4200, Last=4927.2700;✅ Double Top/Bottom: Pattern=DoubleTop;❌ Volume Spike: Factor=1.00;❌ Divergence: واگرایی وجود ندارد;❌ حجم لحظه‌ای 1m: اسپایک حجم وجود ندارد;❌ کندل‌های متوالی 1m: شرط برقرار نیست;✅ EMA کراس سریع: EMA8 بالای EMA21;✅ تأیید روند صعودی: RSI>50, MACD+, ADX>20;❌ فشار فروش: شرایط کامل برقرار نیست"
BTC-USDT,SHORT,HIGH,89509.90000000,90118.68513100,88596.72230350,2026-01-23 00:18:00,OPEN,,,,,10.00,,"❌ قدرت کندل 15m: BS15=0.032 [حد ≥ 0.48];❌ قدرت کندل 5m: BS5=0.033 [حد ≥ 0.48];✅ روند EMA 1h: EMA21=89605.35, EMA55=90028.55;❌ روند EMA 4h: EMA21=90547.17, EMA55=91930.06, EMA200=91399.57;✅ RSI 30m: RSI=48.85 | سطح=MEDIUM;❌ MACD 30m: MACD_hist=40.6865 | سطح=MEDIUM;❌ شکست ورود: Price=89509.90, EMA21=89535.37, Th=0.003 | سطح=MEDIUM;✅ EMA Rejection: EMA=89535.3675, Last=89509.9000;✅ Pullback: Last=89509.9000, Dir=SHORT;❌ ADX: ADX=12.34 [حد ≥ 20] | سطح=MEDIUM;❌ CCI: CCI=5.68 | سطح=MEDIUM;✅ SAR: SAR=89562.53, Close=89509.9, Dir=SHORT;❌ Stochastic: K=69.56, D=23.19, Dir=SHORT | سطح=MEDIUM;❌ Resistance Test: Res=89944.7000, Last=89509.9000;✅ Double Top/Bottom: Pattern=DoubleTop;❌ Volume Spike: Factor=1.00;❌ Divergence: واگرایی وجود ندارد;❌ حجم لحظه‌ای 1m: اسپایک حجم وجود ندارد;❌ کندل‌های متوالی 1m: شرط برقرار نیست;❌ EMA کراس سریع: EMA8 زیر EMA21;❌ تأیید روند صعودی: شرایط کامل برقرار نیست;❌ فشار فروش: شرایط کامل برقرار نیست"
ETH-USDT,SHORT,HIGH,2938.37000000,2972.91583700,2886.55124450,2026-01-23 00:18:01,OPEN,,,,,10.00,,"✅ قدرت کندل 15m: BS15=0.842 [حد ≥ 0.48];✅ قدرت کندل 5m: BS5=0.842 [حد ≥ 0.48];✅ روند EMA 1h: EMA21=2972.85, EMA55=3009.93;❌ روند EMA 4h: EMA21=3038.64, EMA55=3126.87, EMA200=3119.32;✅ RSI 30m: RSI=40.98 | سطح=MEDIUM;✅ MACD 30m: MACD_hist=-0.1106 | سطح=MEDIUM;✅ شکست ورود: Price=2938.37, EMA21=2959.33, Th=0.003 | سطح=MEDIUM;❌ EMA Rejection: EMA=2959.3251, Last=2938.3700;✅ Pullback: Last=2938.3700, Dir=SHORT;❌ ADX: ADX=4.90 [حد ≥ 20] | سطح=MEDIUM;✅ CCI: CCI=-75.75 | سطح=MEDIUM;❌ SAR: SAR=2936.189, Close=2938.37, Dir=SHORT;❌ Stochastic: K=42.53, D=14.18, Dir=SHORT | سطح=MEDIUM;❌ Resistance Test: Res=2972.6000, Last=2938.3700;✅ Double Top/Bottom: Pattern=DoubleTop;❌ Volume Spike: Factor=1.00;❌ Divergence: واگرایی وجود ندارد;❌ حجم لحظه‌ای 1m: اسپایک حجم وجود ندارد;❌ کندل‌های متوالی 1m: شرط برقرار نیست;❌ EMA کراس سریع: EMA8 زیر EMA21;❌ تأیید روند صعودی: شرایط کامل برقرار نیست;❌ فشار فروش: شرایط کامل برقرار نیست"
BNB-USDT,SHORT,HIGH,887.75900000,893.45243150,879.21885275,2026-01-23 00:18:02,OPEN,,,,,10.00,,"✅ قدرت کندل 15m: BS15=0.611 [حد ≥ 0.48];✅ قدرت کندل 5m: BS5=0.611 [حد ≥ 0.48];✅ روند EMA 1h: EMA21=887.83, EMA55=892.14;❌ روند EMA 4h: EMA21=897.65, EMA55=910.14, EMA200=899.02;❌ RSI 30m: RSI=50.34 | سطح=MEDIUM;❌ MACD 30m: MACD_hist=0.1672 | سطح=MEDIUM;❌ شکست ورود: Price=887.76, EMA21=887.38, Th=0.003 | سطح=MEDIUM;❌ EMA Rejection: EMA=887.3821, Last=887.7590;✅ Pullback: Last=887.7590, Dir=SHORT;✅ ADX: ADX=33.67 [حد ≥ 20] | سطح=MEDIUM;❌ CCI: CCI=-6.10 | سطح=MEDIUM;❌ SAR: SAR=886.7193, Close=887.759, Dir=SHORT;❌ Stochastic: K=86.12, D=28.71, Dir=SHORT | سطح=MEDIUM;❌ Resistance Test: Res=889.2770, Last=887.7590;✅ Double Top/Bottom: Pattern=DoubleTop;❌ Volume Spike: Factor=1.00;❌ Divergence: واگرایی وجود ندارد;❌ حجم لحظه‌ای 1m: اسپایک حجم وجود ندارد;❌ کندل‌های متوالی 1m: شرط برقرار نیست;❌ EMA کراس سریع: EMA8 زیر EMA21;✅ تأیید روند صعودی: RSI>50, MACD+, ADX>20;❌ فشار فروش: شرایط کامل برقرار نیست"
SOL-USDT,SHORT,LOW,128.57000000,129.91267400,126.55598900,2026-01-23 00:18:02,OPEN,,,,,10.00,,"✅ قدرت کندل 15m: BS15=0.533 [حد ≥ 0.48];✅ قدرت کندل 5m: BS5=0.533 [حد ≥ 0.48];✅ روند EMA 1h: EMA21=129.02, EMA55=129.72;✅ روند EMA 4h: EMA21=130.78, EMA55=134.69, EMA200=134.92;✅ RSI 30m: RSI=47.62 | سطح=MEDIUM;❌ MACD 30m: MACD_hist=0.0832 | سطح=MEDIUM;❌ شکست ورود: Price=128.57, EMA21=128.75, Th=0.003 | سطح=MEDIUM;✅ EMA Rejection: EMA=128.7485, Last=128.5700;✅ Pullback: Last=128.5700, Dir=SHORT;✅ ADX: ADX=28.84 [حد ≥ 20] | سطح=MEDIUM;❌ CCI: CCI=-11.24 | سطح=MEDIUM;✅ SAR: SAR=128.752, Close=128.57, Dir=SHORT;❌ Stochastic: K=61.00, D=20.33, Dir=SHORT | سطح=MEDIUM;❌ Resistance Test: Res=129.7400, Last=128.5700;✅ Double Top/Bottom: Pattern=DoubleBottom;❌ Volume Spike: Factor=1.00;❌ Divergence: واگرایی وجود ندارد;❌ حجم لحظه‌ای 1m: اسپایک حجم وجود ندارد;❌ کندل‌های متوالی 1m: شرط برقرار نیست;❌ EMA کراس سریع: EMA8 زیر EMA21;❌ تأیید روند صعودی: شرایط کامل برقرار نیست;❌ فشار فروش: شرایط کامل برقرار نیست"
XRP-USDT,SHORT,HIGH,1.92171000,1.93999800,1.89427800,2026-01-23 00:18:03,OPEN,,,,,10.00,,"✅ قدرت کندل 15m: BS15=0.568 [حد ≥ 0.48];✅ قدرت کندل 5m: BS5=0.568 [حد ≥ 0.48];✅ روند EMA 1h: EMA21=1.93, EMA55=1.94;✅ روند EMA 4h: EMA21=1.95, EMA55=2.00, EMA200=2.03;✅ RSI 30m: RSI=44.21 | سطح=MEDIUM;❌ MACD 30m: MACD_hist=0.0008 | سطح=MEDIUM;✅ شکست ورود: Price=1.92, EMA21=1.93, Th=0.003 | سطح=MEDIUM;❌ EMA Rejection: EMA=1.9292, Last=1.9217;❌ Pullback: Last=1.9217, Dir=SHORT;❌ ADX: ADX=6.11 [حد ≥ 20] | سطح=MEDIUM;❌ CCI: CCI=-39.26 | سطح=MEDIUM;❌ SAR: SAR=1.9214, Close=1.92171, Dir=SHORT;❌ Stochastic: K=59.07, D=19.69, Dir=SHORT | سطح=MEDIUM;❌ Resistance Test: Res=1.9358, Last=1.9217;✅ Double Top/Bottom: Pattern=DoubleTop;❌ Volume Spike: Factor=1.00;❌ Divergence: واگرایی وجود ندارد;❌ حجم لحظه‌ای 1m: اسپایک حجم وجود ندارد;❌ کندل‌های متوالی 1m: شرط برقرار نیست;❌ EMA کراس سریع: EMA8 زیر EMA21;❌ تأیید روند صعودی: شرایط کامل برقرار نیست;❌ فشار فروش: شرایط کامل برقرار نیست"
ADA-USDT,SHORT,LOW,0.35970000,0.36350850,0.35398725,2026-01-23 00:18:07,OPEN,,,,,10.00,,"❌ قدرت کندل 15m: BS15=0.000 [حد ≥ 0.48];❌ قدرت کندل 5m: BS5=0.000 [حد ≥ 0.48];✅ روند EMA 1h: EMA21=0.36, EMA55=0.36;✅ روند EMA 4h: EMA21=0.36, EMA55=0.38, EMA200=0.39;✅ RSI 30m: RSI=44.16 | سطح=MEDIUM;❌ MACD 30m: MACD_hist=0.0000 | سطح=MEDIUM;✅ شکست ورود: Price=0.36, EMA21=0.36, Th=0.003 | سطح=MEDIUM;❌ EMA Rejection: EMA=0.3614, Last=0.3597;❌ Pullback: Last=0.3597, Dir=SHORT;✅ ADX: ADX=41.35 [حد ≥ 20] | سطح=MEDIUM;❌ CCI: CCI=-65.11 | سطح=MEDIUM;❌ SAR: SAR=0.3595, Close=0.3597, Dir=SHORT;❌ Stochastic: K=54.55, D=18.18, Dir=SHORT | سطح=MEDIUM;❌ Resistance Test: Res=0.3632, Last=0.3597;✅ Double Top/Bottom: Pattern=DoubleTop;❌ Volume Spike: Factor=1.00;❌ Divergence: واگرایی وجود ندارد;❌ حجم لحظه‌ای 1m: اسپایک حجم وجود ندارد;❌ کندل‌های متوالی 1m: شرط برقرار نیست;❌ EMA کراس سریع: EMA8 زیر EMA21;❌ تأیید روند صعودی: شرایط کامل برقرار نیست;❌ فشار فروش: شرایط کامل برقرار نیست"
DOGE-USDT,SHORT,LOW,0.12399000,0.12497280,0.12202440,2026-01-23 00:18:07,OPEN,,,,,10.00,,"✅ قدرت کندل 15m: BS15=0.909 [حد ≥ 0.48];✅ قدرت کندل 5m: BS5=0.909 [حد ≥ 0.48];✅ روند EMA 1h: EMA21=0.13, EMA55=0.13;✅ روند EMA 4h: EMA21=0.13, EMA55=0.13, EMA200=0.14;✅ RSI 30m: RSI=40.25 | سطح=MEDIUM;✅ MACD 30m: MACD_hist=-0.0000 | سطح=MEDIUM;✅ شکست ورود: Price=0.12, EMA21=0.12, Th=0.003 | سطح=MEDIUM;❌ EMA Rejection: EMA=0.1249, Last=0.1240;✅ Pullback: Last=0.1240, Dir=SHORT;✅ ADX: ADX=27.83 [حد ≥ 20] | سطح=MEDIUM;✅ CCI: CCI=-115.10 | سطح=MEDIUM;❌ SAR: SAR=0.1238, Close=0.12399, Dir=SHORT;❌ Stochastic: K=32.23, D=10.74, Dir=SHORT | سطح=MEDIUM;❌ Resistance Test: Res=0.1256, Last=0.1240;✅ Double Top/Bottom: Pattern=DoubleTop;❌ Volume Spike: Factor=1.00;❌ Divergence: واگرایی وجود ندارد;❌ حجم لحظه‌ای 1m: اسپایک حجم وجود ندارد;❌ کندل‌های متوالی 1m: شرط برقرار نیست;❌ EMA کراس سریع: EMA8 زیر EMA21;❌ تأیید روند صعودی: شرایط کامل برقرار نیست;❌ فشار فروش: شرایط کامل برقرار نیست"
DOT-USDT,SHORT,HIGH,1.92370000,1.94472400,1.89216400,2026-01-23 00:18:08,OPEN,,,,,10.00,,"❌ قدرت کندل 15m: BS15=0.000 [حد ≥ 0.48];❌ قدرت کندل 5m: BS5=0.000 [حد ≥ 0.48];✅ روند EMA 1h: EMA21=1.94, EMA55=1.96;✅ روند EMA 4h: EMA21=1.97, EMA55=2.03, EMA200=2.06;✅ RSI 30m: RSI=44.02 | سطح=MEDIUM;✅ MACD 30m: MACD_hist=-0.0002 | سطح=MEDIUM;✅ شکست ورود: Price=1.92, EMA21=1.93, Th=0.003 | سطح=MEDIUM;❌ EMA Rejection: EMA=1.9347, Last=1.9237;✅ Pullback: Last=1.9237, Dir=SHORT;❌ ADX: ADX=12.25 [حد ≥ 20] | سطح=MEDIUM;✅ CCI: CCI=-83.25 | سطح=MEDIUM;✅ SAR: SAR=1.9247, Close=1.9237, Dir=SHORT;❌ Stochastic: K=44.52, D=14.84, Dir=SHORT | سطح=MEDIUM;❌ Resistance Test: Res=1.9440, Last=1.9237;✅ Double Top/Bottom: Pattern=DoubleTop;❌ Volume Spike: Factor=1.00;❌ Divergence: واگرایی وجود ندارد;❌ حجم لحظه‌ای 1m: اسپایک حجم وجود ندارد;❌ کندل‌های متوالی 1m: شرط برقرار نیست;❌ EMA کراس سریع: EMA8 زیر EMA21;❌ تأیید روند صعودی: شرایط کامل برقرار نیست;❌ فشار فروش: شرایط کامل برقرار نیست"
POL-USDT,SHORT,HIGH,0.13380000,0.13566450,0.13100325,2026-01-23 00:18:09,OPEN,,,,,10.00,,"✅ قدرت کندل 15m: BS15=1.000 [حد ≥ 0.48];✅ قدرت کندل 5m: BS5=1.000 [حد ≥ 0.48];✅ روند EMA 1h: EMA21=0.13, EMA55=0.13;❌ روند EMA 4h: EMA21=0.14, EMA55=0.14, EMA200=0.13;❌ RSI 30m: RSI=52.87 | سطح=MEDIUM;❌ MACD 30m: MACD_hist=0.0004 | سطح=MEDIUM;❌ شکست ورود: Price=0.13, EMA21=0.13, Th=0.003 | سطح=MEDIUM;❌ EMA Rejection: EMA=0.1331, Last=0.1338;✅ Pullback: Last=0.1338, Dir=SHORT;✅ ADX: ADX=72.73 [حد ≥ 20] | سطح=MEDIUM;❌ CCI: CCI=71.79 | سطح=MEDIUM;❌ SAR: SAR=0.1334, Close=0.1338, Dir=SHORT;❌ Stochastic: K=80.77, D=26.92, Dir=SHORT | سطح=MEDIUM;❌ Resistance Test: Res=0.1348, Last=0.1338;✅ Double Top/Bottom: Pattern=DoubleBottom;❌ Volume Spike: Factor=1.00;❌ Divergence: واگرایی وجود ندارد;❌ حجم لحظه‌ای 1m: اسپایک حجم وجود ندارد;❌ کندل‌های متوالی 1m: شرط برقرار نیست;❌ EMA کراس سریع: EMA8 زیر EMA21;✅ تأیید روند صعودی: RSI>50, MACD+, ADX>20;❌ فشار فروش: شرایط کامل برقرار نیست"
