symbol,direction,risk_level,entry_price,stop_loss,take_profit,issued_at_tehran,status,hit_time_tehran,hit_price,broker_fee,final_pnl_usd,position_size_usd,return_pct,signal_source
XAUT-USDT,LONG,ریسک میانی,4339.74000000,4333.38887760,4352.44224480,2025-12-19 00:10:19,OPEN,,,,,10.00,,"Dir=LONG | TF_EMA=30m:EMA21=4336.948307,30m:EMA55=4334.287191,1h:EMA21=4334.64354,1h:EMA55=4328.536608,4h:EMA21=4323.707951,4h:EMA55=4294.797706 | TF_RSI=5m:RSI=56.23,15m:RSI=51.24,30m:RSI=51.83,1h:RSI=52.93,4h:RSI=60.42 | TF_MACD=5m:MACD=-0.571139,5m:HIST=0.69837,15m:MACD=-0.023831,15m:HIST=-0.862942,30m:MACD=1.246781,30m:HIST=-0.20926,1h:MACD=1.995286,1h:HIST=0.181615,4h:MACD=10.400783,4h:HIST=-0.276201 | BS15=1.0 | RulesPassed=EMA21 30m;کندل قوی 15m;ورود + حجم;RSI;عدم واگرایی;حجم + کندل 15m | Reasons=قیمت همسو با EMA21 در 30m|قدرت کندل 15m = 1.00 (حد > 0.45)|شکست سطح + حجم ≥1.15x|RSI: 5/5 همسو + 0 خیلی قوی|بدون واگرایی در 1h و 4h|حجم اسپایک (≥1.15x) + قدرت کندل 15m = 1.00"
XAUT-USDT,SHORT,ریسک میانی,4321.92000000,4324.81490400,4316.13019200,2025-12-19 07:38:04,OPEN,,,,,10.00,,"Dir=SHORT | TF_EMA=30m:EMA21=4330.127948,30m:EMA55=4332.203292,1h:EMA21=4331.398651,1h:EMA55=4328.731464,4h:EMA21=4323.245204,4h:EMA55=4296.635501 | TF_RSI=5m:RSI=38.95,15m:RSI=37.54,30m:RSI=41.91,1h:RSI=44.55,4h:RSI=51.33 | TF_MACD=5m:MACD=-1.830944,5m:HIST=0.259185,15m:MACD=-3.844962,15m:HIST=-0.627124,30m:MACD=-3.567506,30m:HIST=-1.562312,1h:MACD=-1.707866,1h:HIST=-1.930646,4h:MACD=7.649158,4h:HIST=-2.120342 | BS15=1.0 | RulesPassed=EMA21 30m;کندل قوی 15m;ورود + حجم;RSI;MACD;حجم + کندل 15m | Reasons=قیمت همسو با EMA21 در 30m|قدرت کندل 15m = 1.00 (حد > 0.45)|نزدیکی سطح + حجم ≥1.15x|RSI: 4/5 همسو + 0 خیلی قوی|MACD: 3/5 همسو + 3 شدت قوی|حجم اسپایک (≥1.15x) + قدرت کندل 15m = 1.00"
ATOM-USDT,SHORT,ریسک بالا,1.86470000,1.87662680,1.84084640,2025-12-19 09:51:18,OPEN,,,,,10.00,,"Dir=SHORT | TF_EMA=30m:EMA21=1.878534,30m:EMA55=1.897634,1h:EMA21=1.887023,1h:EMA55=1.931355,4h:EMA21=1.959885,4h:EMA55=2.067105 | TF_RSI=5m:RSI=27.58,15m:RSI=41.81,30m:RSI=43.48,1h:RSI=42.45,4h:RSI=33.99 | TF_MACD=5m:MACD=-0.005804,5m:HIST=-0.002675,15m:MACD=0.001343,15m:HIST=-0.0026,30m:MACD=-0.003137,30m:HIST=0.00269,1h:MACD=-0.016513,1h:HIST=0.002833,4h:MACD=-0.062603,4h:HIST=-0.004793 | BS15=0.722 | RulesPassed=روند 1h;EMA21 30m;کندل قوی 15m;RSI;MACD | Reasons=روند 1h: EMA همسو + ساختار LH/LL در 3 کندل|قیمت همسو با EMA21 در 30m + ساختار|قدرت کندل 15m = 0.72 (حد > 0.45)|RSI: 5/5 همسو + 1 خیلی قوی|MACD: 2/5 همسو + 1 شدت قوی"
ATOM-USDT,SHORT,ریسک بالا,1.85900000,1.87026200,1.83647600,2025-12-19 10:22:25,OPEN,,,,,10.00,,"Dir=SHORT | TF_EMA=30m:EMA21=1.876477,30m:EMA55=1.896137,1h:EMA21=1.886505,1h:EMA55=1.931151,4h:EMA21=1.959367,4h:EMA55=2.066901 | TF_RSI=5m:RSI=29.58,15m:RSI=38.99,30m:RSI=41.66,1h:RSI=41.35,4h:RSI=33.52 | TF_MACD=5m:MACD=-0.00756,5m:HIST=-0.001244,15m:MACD=-0.001648,15m:HIST=-0.003752,30m:MACD=-0.00458,30m:HIST=0.001041,1h:MACD=-0.016967,1h:HIST=0.002469,4h:MACD=-0.063058,4h:HIST=-0.005157 | BS15=0.848 | RulesPassed=روند 1h;EMA21 30m;کندل قوی 15m;RSI;MACD | Reasons=روند 1h: EMA همسو + ساختار LH/LL در 3 کندل|قیمت همسو با EMA21 در 30m + ساختار|قدرت کندل 15m = 0.85 (حد > 0.45)|RSI: 5/5 همسو + 1 خیلی قوی|MACD: 3/5 همسو + 1 شدت قوی"
BTC-USDT,LONG,ریسک میانی,88119.70000000,87682.01296480,88995.07407040,2025-12-19 10:45:48,OPEN,,,,,10.00,,"Dir=LONG | TF_EMA=30m:EMA21=86637.163744,30m:EMA55=86570.947857,1h:EMA21=86654.244988,1h:EMA55=86815.033926,4h:EMA21=87173.062011,4h:EMA55=88394.385222 | TF_RSI=5m:RSI=79.28,15m:RSI=72.65,30m:RSI=66.88,1h:RSI=62.82,4h:RSI=53.04 | TF_MACD=5m:MACD=283.453252,5m:HIST=112.847872,15m:MACD=472.87212,15m:HIST=96.632974,30m:MACD=338.888893,30m:HIST=249.676887,1h:MACD=114.129086,1h:HIST=247.320278,4h:MACD=-498.770176,4h:HIST=171.970502 | BS15=0.296 | RulesPassed=روند 4h;روند 1h;EMA21 30m;RSI;MACD;عدم واگرایی | Reasons=روند 4h: بالای/زیر EMA21 + ساختار HH/HL در 3 کندل|روند 1h: EMA همسو + ساختار HH/HL در 3 کندل|قیمت همسو با EMA21 در 30m|RSI: 5/5 همسو + 2 خیلی قوی|MACD: 4/5 همسو + 2 شدت قوی|بدون واگرایی در 1h و 4h"
ETH-USDT,LONG,ریسک میانی,2966.65000000,2945.57274040,3008.80451920,2025-12-19 10:45:48,OPEN,,,,,10.00,,"Dir=LONG | TF_EMA=30m:EMA21=2890.510512,30m:EMA55=2874.192656,1h:EMA21=2881.419995,1h:EMA55=2890.900306,4h:EMA21=2920.310652,4h:EMA55=3002.451505 | TF_RSI=5m:RSI=77.15,15m:RSI=77.92,30m:RSI=73.89,1h:RSI=66.5,4h:RSI=52.27 | TF_MACD=5m:MACD=13.560866,5m:HIST=4.305444,15m:MACD=27.369551,15m:HIST=3.396805,30m:MACD=25.882244,30m:HIST=11.966508,1h:MACD=16.029567,1h:HIST=15.081759,4h:MACD=-42.699139,4h:HIST=12.749329 | BS15=0.302 | RulesPassed=روند 4h;روند 1h;EMA21 30m;RSI;MACD;عدم واگرایی | Reasons=روند 4h: بالای/زیر EMA21 + ساختار HH/HL در 3 کندل|روند 1h: EMA همسو + ساختار HH/HL در 3 کندل|قیمت همسو با EMA21 در 30m|RSI: 5/5 همسو + 3 خیلی قوی|MACD: 4/5 همسو + 3 شدت قوی|بدون واگرایی در 1h و 4h"
SOL-USDT,LONG,ریسک بالا,124.50000000,123.49882560,126.50234880,2025-12-19 10:45:48,OPEN,,,,,10.00,,"Dir=LONG | TF_EMA=30m:EMA21=121.681959,30m:EMA55=122.265062,1h:EMA21=122.066787,1h:EMA55=123.765375,4h:EMA21=125.083118,4h:EMA55=128.830783 | TF_RSI=5m:RSI=69.56,15m:RSI=73.91,30m:RSI=65.94,1h:RSI=57.86,4h:RSI=47.39 | TF_MACD=5m:MACD=0.60318,5m:HIST=0.167807,15m:MACD=1.049322,15m:HIST=0.213952,30m:MACD=0.537662,30m:HIST=0.635548,1h:MACD=-0.361583,1h:HIST=0.587176,4h:MACD=-2.247754,4h:HIST=-0.084182 | BS15=0.588 | RulesPassed=روند 1h;EMA21 30m;کندل قوی 15m;RSI;MACD | Reasons=روند 1h: EMA همسو + ساختار HH/HL در 3 کندل|قیمت همسو با EMA21 در 30m + ساختار|قدرت کندل 15m = 0.59 (حد > 0.45)|RSI: 4/5 همسو + 1 خیلی قوی|MACD: 3/5 همسو + 2 شدت قوی"
XLM-USDT,LONG,ریسک بالا,0.21510000,0.21365640,0.21798720,2025-12-19 10:45:49,OPEN,,,,,10.00,,"Dir=LONG | TF_EMA=30m:EMA21=0.209891,30m:EMA55=0.210308,1h:EMA21=0.21014,1h:EMA55=0.212763,4h:EMA21=0.215932,4h:EMA55=0.225922 | TF_RSI=5m:RSI=82.57,15m:RSI=74.17,30m:RSI=67.9,1h:RSI=60.49,4h:RSI=46.27 | TF_MACD=5m:MACD=0.000996,5m:HIST=0.000474,15m:MACD=0.001482,15m:HIST=0.000365,30m:MACD=0.000945,30m:HIST=0.000786,1h:MACD=-0.000131,1h:HIST=0.000933,4h:MACD=-0.005016,4h:HIST=0.000556 | BS15=1.0 | RulesPassed=روند 1h;EMA21 30m;کندل قوی 15m;RSI;MACD | Reasons=روند 1h: EMA همسو + ساختار HH/HL در 3 کندل|قیمت همسو با EMA21 در 30m + ساختار|قدرت کندل 15m = 1.00 (حد > 0.45)|RSI: 4/5 همسو + 2 خیلی قوی|MACD: 3/5 همسو + 2 شدت قوی"
FIL-USDT,LONG,ریسک میانی,1.25500000,1.24598200,1.27303600,2025-12-19 10:45:49,OPEN,,,,,10.00,,"Dir=LONG | TF_EMA=30m:EMA21=1.223699,30m:EMA55=1.221733,1h:EMA21=1.221693,1h:EMA55=1.235152,4h:EMA21=1.251162,4h:EMA55=1.318148 | TF_RSI=5m:RSI=72.8,15m:RSI=74.25,30m:RSI=69.67,1h:RSI=60.79,4h:RSI=48.66 | TF_MACD=5m:MACD=0.004541,5m:HIST=0.00118,15m:MACD=0.012279,15m:HIST=0.000844,30m:MACD=0.010836,30m:HIST=0.005734,1h:MACD=0.002565,1h:HIST=0.007776,4h:MACD=-0.027126,4h:HIST=0.002569 | BS15=1.0 | RulesPassed=روند 4h;روند 1h;EMA21 30m;کندل قوی 15m;RSI;MACD | Reasons=روند 4h: بالای/زیر EMA21 + ساختار HH/HL در 3 کندل|روند 1h: EMA همسو + ساختار HH/HL در 3 کندل|قیمت همسو با EMA21 در 30m|قدرت کندل 15m = 1.00 (حد > 0.45)|RSI: 4/5 همسو + 2 خیلی قوی|MACD: 4/5 همسو + 2 شدت قوی"
SUI-USDT,LONG,ریسک بالا,1.44190000,1.42661320,1.47247360,2025-12-19 10:45:49,OPEN,,,,,10.00,,"Dir=LONG | TF_EMA=30m:EMA21=1.379917,30m:EMA55=1.389514,1h:EMA21=1.387195,1h:EMA55=1.417291,4h:EMA21=1.44252,4h:EMA55=1.503917 | TF_RSI=5m:RSI=82.91,15m:RSI=79.87,30m:RSI=72.95,1h:RSI=63.35,4h:RSI=47.58 | TF_MACD=5m:MACD=0.01525,5m:HIST=0.005193,15m:MACD=0.018123,15m:HIST=0.006526,30m:MACD=0.008832,30m:HIST=0.010347,1h:MACD=-0.004875,1h:HIST=0.010676,4h:MACD=-0.040917,4h:HIST=-0.000727 | BS15=0.807 | RulesPassed=روند 1h;EMA21 30m;کندل قوی 15m;RSI;MACD | Reasons=روند 1h: EMA همسو + ساختار HH/HL در 3 کندل|قیمت همسو با EMA21 در 30m + ساختار|قدرت کندل 15m = 0.81 (حد > 0.45)|RSI: 4/5 همسو + 3 خیلی قوی|MACD: 3/5 همسو + 2 شدت قوی"
APT-USDT,LONG,ریسک بالا,1.51570000,1.50307000,1.54096000,2025-12-19 10:45:49,OPEN,,,,,10.00,,"Dir=LONG | TF_EMA=30m:EMA21=1.47826,30m:EMA55=1.485338,1h:EMA21=1.482279,1h:EMA55=1.508619,4h:EMA21=1.533192,4h:EMA55=1.622558 | TF_RSI=5m:RSI=77.04,15m:RSI=71.7,30m:RSI=64.85,1h:RSI=56.9,4h:RSI=45.15 | TF_MACD=5m:MACD=0.008203,5m:HIST=0.003213,15m:MACD=0.012373,15m:HIST=0.003,30m:MACD=0.006863,30m:HIST=0.00717,1h:MACD=-0.004188,1h:HIST=0.007849,4h:MACD=-0.040878,4h:HIST=0.000685 | BS15=0.882 | RulesPassed=روند 1h;EMA21 30m;کندل قوی 15m;RSI;MACD | Reasons=روند 1h: EMA همسو + ساختار HH/HL در 3 کندل|قیمت همسو با EMA21 در 30m + ساختار|قدرت کندل 15m = 0.88 (حد > 0.45)|RSI: 4/5 همسو + 2 خیلی قوی|MACD: 3/5 همسو + 2 شدت قوی"
XAUT-USDT,LONG,ریسک میانی,4332.03000000,4330.06678560,4335.95642880,2025-12-19 11:09:46,OPEN,,,,,10.00,,"Dir=LONG | TF_EMA=30m:EMA21=4329.411517,30m:EMA55=4331.424224,1h:EMA21=4331.248664,1h:EMA55=4328.948154,4h:EMA21=4324.164294,4h:EMA55=4296.996573 | TF_RSI=5m:RSI=82.16,15m:RSI=60.02,30m:RSI=52.15,1h:RSI=50.42,4h:RSI=55.41 | TF_MACD=5m:MACD=1.277035,5m:HIST=0.1136,15m:MACD=0.092578,15m:HIST=1.148603,30m:MACD=-1.748986,30m:HIST=0.642833,1h:MACD=-1.183714,1h:HIST=-0.658047,4h:MACD=8.455654,4h:HIST=-1.475146 | BS15=1.0 | RulesPassed=روند 1h;EMA21 30m;کندل قوی 15m;ورود + حجم;RSI;MACD;عدم واگرایی;حجم + کندل 15m | Reasons=روند 1h: EMA همسو + ساختار HH/HL در 3 کندل|قیمت همسو با EMA21 در 30m|قدرت کندل 15m = 1.00 (حد > 0.45)|شکست سطح + حجم ≥1.15x|RSI: 5/5 همسو + 1 خیلی قوی|MACD: 2/5 همسو + 0 شدت قوی|بدون واگرایی در 1h و 4h|حجم اسپایک (≥1.15x) + قدرت کندل 15m = 1.00"
BTC-USDT,LONG,ریسک میانی,87846.00000000,87395.61163080,88746.77673840,2025-12-19 11:09:46,OPEN,,,,,10.00,,"Dir=LONG | TF_EMA=30m:EMA21=86732.305883,30m:EMA55=86610.338112,1h:EMA21=86629.399534,1h:EMA55=86805.273212,4h:EMA21=87148.171102,4h:EMA55=88384.60665 | TF_RSI=5m:RSI=63.43,15m:RSI=66.6,30m:RSI=64.25,1h:RSI=61.1,4h:RSI=51.97 | TF_MACD=5m:MACD=265.434851,5m:HIST=35.72563,15m:MACD=469.439713,15m:HIST=76.84002,30m:MACD=376.702447,30m:HIST=232.270643,1h:MACD=92.327377,1h:HIST=229.87891,4h:MACD=-520.611772,4h:HIST=154.497226 | BS15=0.414 | RulesPassed=روند 4h;روند 1h;EMA21 30m;RSI;MACD;عدم واگرایی | Reasons=روند 4h: بالای/زیر EMA21 + ساختار HH/HL در 3 کندل|روند 1h: EMA همسو + ساختار HH/HL در 3 کندل|قیمت همسو با EMA21 در 30m|RSI: 5/5 همسو + 0 خیلی قوی|MACD: 4/5 همسو + 2 شدت قوی|بدون واگرایی در 1h و 4h"
ETH-USDT,LONG,ریسک میانی,2953.63000000,2931.86550400,2997.15899200,2025-12-19 11:09:46,OPEN,,,,,10.00,,"Dir=LONG | TF_EMA=30m:EMA21=2895.313937,30m:EMA55=2876.640202,1h:EMA21=2880.222722,1h:EMA55=2890.429949,4h:EMA21=2919.113379,4h:EMA55=3001.981148 | TF_RSI=5m:RSI=62.64,15m:RSI=70.24,30m:RSI=71.46,1h:RSI=64.89,4h:RSI=51.26 | TF_MACD=5m:MACD=11.314102,5m:HIST=0.474555,15m:MACD=26.319802,15m:HIST=2.023915,30m:MACD=26.71386,30m:HIST=10.382854,1h:MACD=14.978968,1h:HIST=14.241281,4h:MACD=-43.749738,4h:HIST=11.90885 | BS15=0.121 | RulesPassed=روند 4h;روند 1h;EMA21 30m;RSI;MACD;عدم واگرایی | Reasons=روند 4h: بالای/زیر EMA21 + ساختار HH/HL در 3 کندل|روند 1h: EMA همسو + ساختار HH/HL در 3 کندل|قیمت همسو با EMA21 در 30m|RSI: 5/5 همسو + 2 خیلی قوی|MACD: 4/5 همسو + 3 شدت قوی|بدون واگرایی در 1h و 4h"
XLM-USDT,LONG,ریسک بالا,0.21490000,0.21352840,0.21764320,2025-12-19 11:49:32,OPEN,,,,,10.00,,"Dir=LONG | TF_EMA=30m:EMA21=0.210867,30m:EMA55=0.210674,1h:EMA21=0.210647,1h:EMA55=0.21287,4h:EMA21=0.215913,4h:EMA55=0.225559 | TF_RSI=5m:RSI=62.06,15m:RSI=67.98,30m:RSI=64.85,1h:RSI=59.1,4h:RSI=46.13 | TF_MACD=5m:MACD=0.001053,5m:HIST=-9e-05,15m:MACD=0.001807,15m:HIST=0.000299,30m:MACD=0.00148,30m:HIST=0.000871,1h:MACD=0.000306,1h:HIST=0.001084,4h:MACD=-0.004416,4h:HIST=0.000914 | BS15=0.667 | RulesPassed=روند 1h;EMA21 30m;کندل قوی 15m;RSI;MACD | Reasons=روند 1h: EMA همسو + ساختار HH/HL در 3 کندل|قیمت همسو با EMA21 در 30m + ساختار|قدرت کندل 15m = 0.67 (حد > 0.45)|RSI: 4/5 همسو + 0 خیلی قوی|MACD: 3/5 همسو + 3 شدت قوی"
XAUT-USDT,SHORT,ریسک میانی,4327.28000000,4329.27547160,4323.28905680,2025-12-19 11:49:31,OPEN,,,,,10.00,,"Dir=SHORT | TF_EMA=30m:EMA21=4329.194477,30m:EMA55=4331.197206,1h:EMA21=4330.648207,1h:EMA55=4328.788704,4h:EMA21=4324.207871,4h:EMA55=4297.978234 | TF_RSI=5m:RSI=32.46,15m:RSI=46.58,30m:RSI=46.95,1h:RSI=47.51,4h:RSI=53.41 | TF_MACD=5m:MACD=0.331987,5m:HIST=-0.610438,15m:MACD=0.198911,15m:HIST=0.593902,30m:MACD=-1.525991,30m:HIST=0.55815,1h:MACD=-1.506967,1h:HIST=-0.748026,4h:MACD=7.503818,4h:HIST=-1.904571 | BS15=1.0 | RulesPassed=EMA21 30m;کندل قوی 15m;ورود + حجم;RSI;MACD;حجم + کندل 15m | Reasons=قیمت همسو با EMA21 در 30m|قدرت کندل 15m = 1.00 (حد > 0.45)|شکست سطح + حجم ≥1.15x|RSI: 4/5 همسو + 0 خیلی قوی|MACD: 1/5 همسو + 1 شدت قوی|حجم اسپایک (≥1.15x) + قدرت کندل 15m = 1.00"
FIL-USDT,LONG,ریسک بالا,1.25480000,1.24672520,1.27094960,2025-12-19 12:20:17,OPEN,,,,,10.00,,"Dir=LONG | TF_EMA=30m:EMA21=1.230147,30m:EMA55=1.224579,1h:EMA21=1.224174,1h:EMA55=1.235633,4h:EMA21=1.250963,4h:EMA55=1.315665 | TF_RSI=5m:RSI=61.44,15m:RSI=70.12,30m:RSI=70.06,1h:RSI=60.85,4h:RSI=48.7 | TF_MACD=5m:MACD=0.002819,5m:HIST=3.9e-05,15m:MACD=0.010133,15m:HIST=-0.000594,30m:MACD=0.012031,30m:HIST=0.003844,1h:MACD=0.004355,1h:HIST=0.007734,4h:MACD=-0.023859,4h:HIST=0.00475 | BS15=0.857 | RulesPassed=EMA21 30m;کندل قوی 15m;RSI;MACD;عدم واگرایی | Reasons=قیمت همسو با EMA21 در 30m + ساختار|قدرت کندل 15m = 0.86 (حد > 0.45)|RSI: 4/5 همسو + 2 خیلی قوی|MACD: 3/5 همسو + 2 شدت قوی|بدون واگرایی در 1h و 4h"
