symbol,direction,risk_level,entry_price,stop_loss,take_profit,issued_at_tehran,issued_at_epoch,status,last_checked_epoch,hit_time_tehran,hit_price,broker_fee_usd,final_pnl_usd,position_margin_usd,leverage,notional_usd,return_pct,telegram_message_id,resolution_message_id,signal_source
APT-USDT,LONG,HIGH,0.64750000,0.62460964,0.69328072,2026-09-11 02:12:10,1789080130,STOP_HIT,1789104540,2026-09-11 11:53:00,0.62429734,0.2000,-3.7834,10.00,10.00,100.00,-37.8342,33355,33372,"4h trend=0.65:price=0.6276 EMA21=0.632326 EMA55=0.614863 ADX=31.3 | 1h trend=0.50:price=0.6417 EMA21=0.632835 EMA55=0.636122 ADX=15.9 | 30m structure=1.00:HH=True, HL=True | key level=0.25:support=0.626, distance=3.320% | momentum=1.00:RSI=60.6, MACD_hist=0.00209483, ADX=16.5 | volume=0.20:volume ratio=0.74x | candlestick/pattern=1.00:pattern=BULLISH_ENGULFING | volatility=1.00:ATR=0.00926905 (1.43%) | multi-timeframe=0.74:weighted alignment=0.74"
XRP-USDT,SHORT,MEDIUM,1.33447000,1.36016436,1.28051184,2026-09-11 03:47:57,1789085880,STOP_HIT,1789120560,2026-09-11 16:09:00,1.36084444,0.2000,-2.1764,10.00,10.00,100.00,-21.7640,33361,33386,"4h trend=1.00:price=1.33447 EMA21=1.3896 EMA55=1.3951 ADX=18.2 | 1h trend=1.00:price=1.33447 EMA21=1.36468 EMA55=1.38542 ADX=55.7 | 30m structure=0.50:LH=True, LL=False | key level=0.25:resistance=1.3589, distance=1.831% | momentum=0.60:RSI=29.8, MACD_hist=-0.000842578, ADX=58.4 | volume=0.50:volume ratio=0.99x | candlestick/pattern=0.35:pattern=NONE | volatility=1.00:ATR=0.00842908 (0.63%) | multi-timeframe=0.97:weighted alignment=0.97"
ADA-USDT,SHORT,HIGH,0.20470000,0.20968479,0.19473041,2026-09-11 03:48:01,1789085883,STOP_HIT,1789085823,2026-09-11 07:56:00,0.20978963,0.2000,-2.6864,10.00,10.00,100.00,-26.8639,33362,33365,"4h trend=0.50:price=0.2047 EMA21=0.214381 EMA55=0.213712 ADX=21.9 | 1h trend=1.00:price=0.2047 EMA21=0.210252 EMA55=0.213665 ADX=43.0 | 30m structure=1.00:LH=True, LL=True | key level=0.25:resistance=0.2094, distance=2.296% | momentum=1.00:RSI=33.2, MACD_hist=-0.000321096, ADX=35.3 | volume=0.20:volume ratio=0.35x | candlestick/pattern=0.35:pattern=NONE | volatility=1.00:ATR=0.00189862 (0.93%) | multi-timeframe=0.84:weighted alignment=0.84"
XLM-USDT,SHORT,MEDIUM,0.17470000,0.17926034,0.16512328,2026-09-11 03:48:08,1789085888,STOP_HIT,1789120500,2026-09-11 16:21:00,0.17934997,0.2000,-2.8617,10.00,10.00,100.00,-28.6169,33363,33387,"4h trend=1.00:price=0.1747 EMA21=0.18285 EMA55=0.183412 ADX=27.8 | 1h trend=1.00:price=0.1747 EMA21=0.178527 EMA55=0.182003 ADX=45.7 | 30m structure=0.50:LH=False, LL=False | key level=0.25:resistance=0.1791, distance=2.519% | momentum=1.00:RSI=32.2, MACD_hist=-0.000233571, ADX=38.1 | volume=0.20:volume ratio=0.46x | candlestick/pattern=0.35:pattern=NONE | volatility=1.00:ATR=0.00106896 (0.61%) | multi-timeframe=0.97:weighted alignment=0.97"
XAUT-USDT,SHORT,LOW,4317.52000000,4330.62947026,4286.05727138,2026-09-11 03:48:09,1789085892,STOP_HIT,1789085832,2026-09-11 04:16:00,4332.79478500,0.2000,-0.5538,10.00,10.00,100.00,-5.5379,33364,33366,"4h trend=1.00:price=4317.52 EMA21=4382.93 EMA55=4408.24 ADX=20.8 | 1h trend=1.00:price=4317.52 EMA21=4356.78 EMA55=4378.3 ADX=41.2 | 30m structure=0.50:LH=True, LL=False | key level=1.00:resistance=4329.3, distance=0.273% | momentum=0.60:RSI=27.4, MACD_hist=-0.472531, ADX=48.4 | volume=1.00:volume ratio=1.78x | candlestick/pattern=0.55:pattern=NONE | volatility=1.00:ATR=8.86314 (0.21%) | multi-timeframe=0.99:weighted alignment=0.99"
LTC-USDT,LONG,HIGH,52.85000000,52.48228896,53.58542209,2026-09-11 09:00:33,1789104635,STOP_HIT,1789104575,2026-09-11 13:20:00,52.45604782,0.2000,-0.9454,10.00,10.00,100.00,-9.4542,33367,33373,"4h trend=0.65:price=53.09 EMA21=53.2861 EMA55=52.7731 ADX=37.4 | 1h trend=0.50:price=52.84 EMA21=52.6374 EMA55=53.1332 ADX=36.4 | 30m structure=1.00:HH=True, HL=True | key level=0.65:support=52.53, distance=0.605% | momentum=1.00:RSI=55.9, MACD_hist=0.0509775, ADX=32.5 | volume=0.20:volume ratio=0.51x | candlestick/pattern=0.35:pattern=NONE | volatility=1.00:ATR=0.318074 (0.60%) | multi-timeframe=0.62:weighted alignment=0.62"
AVAX-USDT,SHORT,MEDIUM,7.51300000,7.57915660,7.37407115,2026-09-11 09:00:36,1789104639,TP_HIT,1789120560,2026-09-11 14:12:00,7.37775819,0.2000,1.6001,10.00,10.00,100.00,16.0010,33368,33388,"4h trend=0.50:price=7.465 EMA21=7.74471 EMA55=7.66808 ADX=28.7 | 1h trend=1.00:price=7.507 EMA21=7.58234 EMA55=7.72096 ADX=53.9 | 30m structure=0.50:LH=True, LL=False | key level=1.00:resistance=7.49, distance=0.306% | momentum=0.70:RSI=46.2, MACD_hist=0.0107941, ADX=48.7 | volume=0.50:volume ratio=1.03x | candlestick/pattern=0.35:pattern=NONE | volatility=1.00:ATR=0.0413479 (0.55%) | multi-timeframe=0.70:weighted alignment=0.70"
ATOM-USDT,SHORT,HIGH,1.76850000,1.82292989,1.65964022,2026-09-11 09:00:40,1789104643,TP_HIT,1789135380,2026-09-11 21:12:00,1.66047004,0.2000,5.9086,10.00,10.00,100.00,59.0856,33369,33396,"4h trend=0.35:price=1.7685 EMA21=1.77157 EMA55=1.67367 ADX=44.8 | 1h trend=1.00:price=1.7726 EMA21=1.7999 EMA55=1.80142 ADX=28.2 | 30m structure=1.00:LH=True, LL=True | key level=0.25:resistance=1.8202, distance=2.923% | momentum=1.00:RSI=42.1, MACD_hist=-0.00267658, ADX=14.3 | volume=0.50:volume ratio=1.13x | candlestick/pattern=0.35:pattern=NONE | volatility=1.00:ATR=0.0181993 (1.03%) | multi-timeframe=0.79:weighted alignment=0.79"
XAUT-USDT,SHORT,MEDIUM,4335.42000000,4342.83230841,4319.85415234,2026-09-11 09:00:44,1789104647,STOP_HIT,1789104587,2026-09-11 09:16:00,4345.00372456,0.2000,-0.4211,10.00,10.00,100.00,-4.2106,33370,33374,"4h trend=1.00:price=4307.36 EMA21=4376.06 EMA55=4404.63 ADX=20.5 | 1h trend=1.00:price=4333.61 EMA21=4345.16 EMA55=4369.67 ADX=42.3 | 30m structure=0.50:LH=False, LL=True | key level=1.00:resistance=4341.2, distance=0.133% | momentum=0.50:RSI=50.1, MACD_hist=3.0744, ADX=35.5 | volume=0.20:volume ratio=0.25x | candlestick/pattern=0.35:pattern=NONE | volatility=1.00:ATR=10.8821 (0.25%) | multi-timeframe=0.77:weighted alignment=0.77"
ADA-USDT,SHORT,MEDIUM,0.20610000,0.21072155,0.19639475,2026-09-11 13:27:51,1789120671,STOP_HIT,1789120611,2026-09-11 17:19:00,0.21082691,0.2000,-2.4935,10.00,10.00,100.00,-24.9350,33375,33389,"4h trend=1.00:price=0.2079 EMA21=0.213248 EMA55=0.213301 ADX=20.9 | 1h trend=1.00:price=0.2078 EMA21=0.209039 EMA55=0.212105 ADX=38.3 | 30m structure=0.00:LH=False, LL=False | key level=0.25:resistance=0.2105, distance=2.135% | momentum=1.00:RSI=39.8, MACD_hist=-5.84443e-05, ADX=21.4 | volume=0.80:volume ratio=1.23x | candlestick/pattern=0.35:pattern=NONE | volatility=1.00:ATR=0.00147698 (0.72%) | multi-timeframe=1.00:weighted alignment=1.00"
LTC-USDT,LONG,HIGH,52.94000000,52.58582289,53.64835422,2026-09-11 13:27:52,1789120675,STOP_HIT,1789120615,2026-09-11 13:28:00,52.55952998,0.2000,-0.9187,10.00,10.00,100.00,-9.1868,33376,33390,"4h trend=0.65:price=53.11 EMA21=53.2701 EMA55=52.7851 ADX=36.5 | 1h trend=0.50:price=53.13 EMA21=52.7656 EMA55=53.12 ADX=29.3 | 30m structure=1.00:HH=True, HL=True | key level=0.65:support=52.63, distance=0.586% | momentum=1.00:RSI=53.1, MACD_hist=0.00349502, ADX=29.0 | volume=0.50:volume ratio=0.92x | candlestick/pattern=0.00:pattern=BEARISH_ENGULFING | volatility=1.00:ATR=0.294514 (0.56%) | multi-timeframe=0.62:weighted alignment=0.62"
