symbol,direction,risk_level,entry_price,stop_loss,take_profit,issued_at_tehran,issued_at_epoch,status,last_checked_epoch,hit_time_tehran,hit_price,broker_fee_usd,final_pnl_usd,position_margin_usd,leverage,notional_usd,return_pct,telegram_message_id,resolution_message_id,signal_source
BTC-USDT,LONG,HIGH,79769.00000000,79353.63844796,80599.72310409,2026-09-05 01:07:27,1788557849,OPEN,1788584820,,,,,10.00,10.00,100.00,,33091,,"4h trend=1.00:price=79780.2 EMA21=79314.3 EMA55=78258.6 ADX=24.9 | 1h trend=0.50:price=79693 EMA21=80014.4 EMA55=79548.3 ADX=30.6 | 30m structure=0.50:HH=False, HL=True | key level=0.65:support=79396.3, distance=0.467% | momentum=0.80:RSI=45.7, MACD_hist=58.6935, ADX=33.0 | volume=0.20:volume ratio=0.27x | candlestick/pattern=0.35:pattern=NONE | volatility=1.00:ATR=284.41 (0.36%) | multi-timeframe=0.56:weighted alignment=0.56"
BNB-USDT,LONG,LOW,718.16400000,716.15382425,722.98842180,2026-09-05 01:07:32,1788557853,TP_HIT,1788567120,2026-09-05 05:02:00,722.62692759,0.2000,0.4214,10.00,10.00,100.00,4.2144,33092,33100,"4h trend=1.00:price=720.232 EMA21=707.557 EMA55=697.142 ADX=27.2 | 1h trend=1.00:price=718.322 EMA21=718.14 EMA55=711.261 ADX=24.2 | 30m structure=0.50:HH=False, HL=True | key level=1.00:support=716.587, distance=0.220% | momentum=0.80:RSI=48.4, MACD_hist=0.234446, ADX=18.4 | volume=0.20:volume ratio=0.70x | candlestick/pattern=0.50:pattern=DOJI | volatility=1.00:ATR=2.88784 (0.40%) | multi-timeframe=0.71:weighted alignment=0.71"
DOT-USDT,LONG,MEDIUM,0.87390000,0.85105437,0.92187583,2026-09-05 01:07:39,1788557859,OPEN,1788584820,,,,,10.00,10.00,100.00,,33093,,"4h trend=0.85:price=0.8746 EMA21=0.870193 EMA55=0.86329 ADX=25.1 | 1h trend=0.50:price=0.8698 EMA21=0.868931 EMA55=0.87044 ADX=19.9 | 30m structure=1.00:HH=True, HL=True | key level=0.25:support=0.8522, distance=2.483% | momentum=1.00:RSI=55.5, MACD_hist=0.00240392, ADX=22.0 | volume=0.80:volume ratio=1.20x | candlestick/pattern=0.35:pattern=NONE | volatility=1.00:ATR=0.00763754 (0.87%) | multi-timeframe=0.65:weighted alignment=0.65"
LTC-USDT,LONG,MEDIUM,50.81000000,50.18341478,52.12582895,2026-09-05 01:07:41,1788557863,TP_HIT,1788567120,2026-09-05 06:25:00,52.09976604,0.2000,2.3384,10.00,10.00,100.00,23.3841,33094,33101,"4h trend=0.85:price=50.67 EMA21=50.3575 EMA55=49.8337 ADX=17.7 | 1h trend=0.85:price=50.8 EMA21=50.7323 EMA55=50.5279 ADX=26.8 | 30m structure=0.50:HH=False, HL=True | key level=0.25:support=50.22, distance=1.161% | momentum=1.00:RSI=54.1, MACD_hist=0.0697291, ADX=25.9 | volume=1.00:volume ratio=1.77x | candlestick/pattern=0.50:pattern=DOJI | volatility=1.00:ATR=0.243901 (0.48%) | multi-timeframe=0.67:weighted alignment=0.67"
OP-USDT,LONG,HIGH,0.09840000,0.09646085,0.10227830,2026-09-05 01:07:50,1788557871,OPEN,1788584820,,,,,10.00,10.00,100.00,,33095,,"4h trend=0.85:price=0.0985 EMA21=0.097852 EMA55=0.0963492 ADX=28.1 | 1h trend=0.65:price=0.098 EMA21=0.0984861 EMA55=0.0984757 ADX=20.6 | 30m structure=0.50:HH=False, HL=False | key level=0.25:support=0.0966, distance=1.829% | momentum=1.00:RSI=51.1, MACD_hist=0.000248073, ADX=19.2 | volume=0.20:volume ratio=0.23x | candlestick/pattern=1.00:pattern=BULLISH_ENGULFING | volatility=1.00:ATR=0.000927653 (0.94%) | multi-timeframe=0.69:weighted alignment=0.69"
ADA-USDT,LONG,HIGH,0.21130000,0.21064491,0.21261017,2026-09-05 03:43:09,1788567189,STOP_HIT,1788567129,2026-09-05 04:02:00,0.21053959,0.2000,-0.5599,10.00,10.00,100.00,-5.5987,33096,33102,"4h trend=1.00:price=0.2113 EMA21=0.210432 EMA55=0.206733 ADX=25.9 | 1h trend=0.50:price=0.2113 EMA21=0.21464 EMA55=0.212553 ADX=32.1 | 30m structure=0.50:HH=False, HL=True | key level=1.00:support=0.2109, distance=0.189% | momentum=0.60:RSI=39.9, MACD_hist=6.43811e-05, ADX=30.6 | volume=0.20:volume ratio=0.85x | candlestick/pattern=0.55:pattern=NONE | volatility=1.00:ATR=0.00170058 (0.80%) | multi-timeframe=0.44:weighted alignment=0.44"
TRX-USDT,LONG,MEDIUM,0.33150000,0.33102214,0.33250350,2026-09-05 03:43:11,1788567193,OPEN,1788584820,,,,,10.00,10.00,100.00,,33097,,"4h trend=0.50:price=0.3315 EMA21=0.329567 EMA55=0.332196 ADX=20.1 | 1h trend=1.00:price=0.3315 EMA21=0.330423 EMA55=0.329302 ADX=33.6 | 30m structure=0.50:HH=False, HL=True | key level=1.00:support=0.3311, distance=0.121% | momentum=0.55:RSI=59.3, MACD_hist=-4.21396e-05, ADX=23.0 | volume=0.20:volume ratio=0.41x | candlestick/pattern=0.55:pattern=NONE | volatility=1.00:ATR=0.000519052 (0.16%) | multi-timeframe=0.84:weighted alignment=0.84"
FIL-USDT,LONG,HIGH,0.76020000,0.74860520,0.78338960,2026-09-05 03:43:18,1788567199,OPEN,1788584820,,,,,10.00,10.00,100.00,,33098,,"4h trend=0.65:price=0.7602 EMA21=0.763872 EMA55=0.741572 ADX=33.8 | 1h trend=0.35:price=0.7602 EMA21=0.759779 EMA55=0.767956 ADX=32.7 | 30m structure=1.00:HH=True, HL=True | key level=0.25:support=0.7493, distance=1.434% | momentum=1.00:RSI=57.1, MACD_hist=0.00218081, ADX=36.9 | volume=1.00:volume ratio=3.11x | candlestick/pattern=0.35:pattern=NONE | volatility=1.00:ATR=0.004632 (0.61%) | multi-timeframe=0.55:weighted alignment=0.55"
ETH-USDT,SHORT,HIGH,2449.10000000,2456.67955365,2433.94089269,2026-09-05 08:38:57,1788584939,OPEN,1788584879,,,,,10.00,10.00,100.00,,33103,,"4h trend=0.35:price=2452.51 EMA21=2459.16 EMA55=2438.7 ADX=19.8 | 1h trend=0.50:price=2449.1 EMA21=2461.26 EMA55=2459.65 ADX=23.6 | 30m structure=0.50:LH=True, LL=False | key level=1.00:resistance=2455.76, distance=0.272% | momentum=0.70:RSI=39.8, MACD_hist=1.27142, ADX=25.1 | volume=1.00:volume ratio=1.55x | candlestick/pattern=0.55:pattern=NONE | volatility=1.00:ATR=6.13036 (0.25%) | multi-timeframe=0.67:weighted alignment=0.67"
BNB-USDT,LONG,LOW,721.45900000,719.59515829,725.93222011,2026-09-05 08:39:00,1788584943,OPEN,1788584883,,,,,10.00,10.00,100.00,,33104,,"4h trend=1.00:price=723.386 EMA21=710.131 EMA55=698.911 ADX=27.2 | 1h trend=1.00:price=721.459 EMA21=719.508 EMA55=713.601 ADX=19.7 | 30m structure=1.00:HH=True, HL=True | key level=1.00:support=719.925, distance=0.213% | momentum=1.00:RSI=53.7, MACD_hist=0.219394, ADX=17.5 | volume=0.20:volume ratio=0.78x | candlestick/pattern=0.50:pattern=DOJI | volatility=1.00:ATR=2.19894 (0.30%) | multi-timeframe=0.96:weighted alignment=0.96"
SOL-USDT,SHORT,MEDIUM,101.76000000,102.04778572,101.15564999,2026-09-05 08:39:04,1788584947,OPEN,1788584887,,,,,10.00,10.00,100.00,,33105,,"4h trend=0.50:price=101.89 EMA21=102.263 EMA55=101.141 ADX=19.3 | 1h trend=1.00:price=101.76 EMA21=102.115 EMA55=102.196 ADX=27.8 | 30m structure=0.50:LH=True, LL=False | key level=1.00:resistance=102, distance=0.236% | momentum=0.55:RSI=44.6, MACD_hist=0.0546375, ADX=23.8 | volume=0.20:volume ratio=0.82x | candlestick/pattern=0.55:pattern=NONE | volatility=1.00:ATR=0.318571 (0.31%) | multi-timeframe=0.84:weighted alignment=0.84"
