symbol,direction,risk_level,entry_price,stop_loss,take_profit,issued_at_tehran,status,hit_time_tehran,hit_price,broker_fee,final_pnl_usd,position_size_usd,return_pct,signal_source
XAUT-USDT,SHORT,HIGH,4457.27000000,4466.54874650,4443.35188025,2026-01-08 00:15:17,OPEN,,,,,10.00,,"✅ قدرت کندل 15m: BS15=1.000 [حد ≥ 0.48];✅ قدرت کندل 5m: BS5=1.000 [حد ≥ 0.48];❌ روند EMA 1h: EMA21=4456.32, EMA55=4446.66;❌ روند EMA 4h: EMA21=4436.16, EMA55=4414.52, EMA200=4351.93;❌ RSI 30m: RSI=52.85 | سطح=MEDIUM;❌ MACD 30m: MACD_hist=1.5277 | سطح=MEDIUM;❌ شکست ورود: Price=4457.27, EMA21=4453.03, Th=0.003 | سطح=MEDIUM;❌ EMA Rejection: EMA=4453.0276, Last=4457.2700;✅ Pullback: Last=4457.2700, Dir=SHORT;❌ ADX: ADX=14.17 [حد ≥ 20] | سطح=MEDIUM;✅ CCI: CCI=95.34 | سطح=MEDIUM;❌ SAR: SAR=4453.5754, Close=4457.27, Dir=SHORT;❌ Stochastic: K=89.29, D=29.76, Dir=SHORT | سطح=MEDIUM;❌ Resistance Test: Res=4460.8700, Last=4457.2700;✅ Double Top/Bottom: Pattern=DoubleTop;❌ Volume Spike: Factor=1.00;❌ Divergence: واگرایی وجود ندارد;✅ حجم لحظه‌ای 1m: اسپایک حجم;❌ کندل‌های متوالی 1m: شرط برقرار نیست;✅ EMA کراس سریع: EMA8 بالای EMA21;❌ تأیید روند صعودی: شرایط کامل برقرار نیست;❌ فشار فروش: شرایط کامل برقرار نیست"
BTC-USDT,SHORT,MEDIUM,90996.10000000,91507.87858840,89972.54282320,2026-01-08 00:15:18,OPEN,,,,,10.00,,"✅ قدرت کندل 15m: BS15=0.853 [حد ≥ 0.48];✅ قدرت کندل 5m: BS5=0.853 [حد ≥ 0.48];✅ روند EMA 1h: EMA21=91909.41, EMA55=92346.33;❌ روند EMA 4h: EMA21=92124.78, EMA55=90918.28, EMA200=90042.57;✅ RSI 30m: RSI=39.27 | سطح=MEDIUM;✅ MACD 30m: MACD_hist=-22.9477 | سطح=MEDIUM;✅ شکست ورود: Price=90996.10, EMA21=91501.80, Th=0.003 | سطح=MEDIUM;❌ EMA Rejection: EMA=91501.8041, Last=90996.1000;✅ Pullback: Last=90996.1000, Dir=SHORT;✅ ADX: ADX=33.48 [حد ≥ 20] | سطح=MEDIUM;✅ CCI: CCI=-94.58 | سطح=MEDIUM;❌ SAR: SAR=90781.28, Close=90996.1, Dir=SHORT;❌ Stochastic: K=21.85, D=7.28, Dir=SHORT | سطح=MEDIUM;❌ Resistance Test: Res=91788.3000, Last=90996.1000;✅ Double Top/Bottom: Pattern=DoubleTop;❌ Volume Spike: Factor=1.00;❌ Divergence: واگرایی وجود ندارد;❌ حجم لحظه‌ای 1m: اسپایک حجم وجود ندارد;❌ کندل‌های متوالی 1m: شرط برقرار نیست;✅ EMA کراس سریع: EMA8 بالای EMA21;❌ تأیید روند صعودی: شرایط کامل برقرار نیست;❌ فشار فروش: شرایط کامل برقرار نیست"
ETH-USDT,SHORT,HIGH,3136.17000000,3166.67942400,3090.40586400,2026-01-08 00:15:19,OPEN,,,,,10.00,,"✅ قدرت کندل 15m: BS15=1.000 [حد ≥ 0.48];✅ قدرت کندل 5m: BS5=1.000 [حد ≥ 0.48];✅ روند EMA 1h: EMA21=3195.96, EMA55=3205.55;❌ روند EMA 4h: EMA21=3188.60, EMA55=3121.99, EMA200=3055.86;✅ RSI 30m: RSI=30.46 | سطح=MEDIUM;✅ MACD 30m: MACD_hist=-2.1437 | سطح=MEDIUM;✅ شکست ورود: Price=3136.17, EMA21=3173.18, Th=0.003 | سطح=MEDIUM;❌ EMA Rejection: EMA=3173.1801, Last=3136.1700;✅ Pullback: Last=3136.1700, Dir=SHORT;❌ ADX: ADX=15.72 [حد ≥ 20] | سطح=MEDIUM;✅ CCI: CCI=-92.91 | سطح=MEDIUM;❌ SAR: SAR=3127.9932, Close=3136.17, Dir=SHORT;❌ Stochastic: K=12.49, D=4.16, Dir=SHORT | سطح=MEDIUM;❌ Resistance Test: Res=3179.5800, Last=3136.1700;✅ Double Top/Bottom: Pattern=DoubleTop;❌ Volume Spike: Factor=1.00;❌ Divergence: واگرایی وجود ندارد;❌ حجم لحظه‌ای 1m: اسپایک حجم وجود ندارد;❌ کندل‌های متوالی 1m: شرط برقرار نیست;✅ EMA کراس سریع: EMA8 بالای EMA21;❌ تأیید روند صعودی: شرایط کامل برقرار نیست;❌ فشار فروش: شرایط کامل برقرار نیست"
BNB-USDT,SHORT,HIGH,895.80200000,901.87322000,886.69517000,2026-01-08 00:15:19,OPEN,,,,,10.00,,"❌ قدرت کندل 15m: BS15=0.253 [حد ≥ 0.48];✅ قدرت کندل 5m: BS5=1.000 [حد ≥ 0.48];✅ روند EMA 1h: EMA21=904.24, EMA55=904.73;❌ روند EMA 4h: EMA21=901.58, EMA55=886.65, EMA200=875.90;✅ RSI 30m: RSI=37.80 | سطح=MEDIUM;✅ MACD 30m: MACD_hist=-0.3752 | سطح=MEDIUM;✅ شکست ورود: Price=895.80, EMA21=901.06, Th=0.003 | سطح=MEDIUM;❌ EMA Rejection: EMA=901.0552, Last=895.8020;✅ Pullback: Last=895.8020, Dir=SHORT;✅ ADX: ADX=56.64 [حد ≥ 20] | سطح=MEDIUM;✅ CCI: CCI=-89.24 | سطح=MEDIUM;❌ SAR: SAR=894.1159, Close=895.802, Dir=SHORT;❌ Stochastic: K=24.16, D=8.05, Dir=SHORT | سطح=MEDIUM;❌ Resistance Test: Res=901.9980, Last=895.8020;✅ Double Top/Bottom: Pattern=DoubleTop;❌ Volume Spike: Factor=1.00;❌ Divergence: واگرایی وجود ندارد;❌ حجم لحظه‌ای 1m: اسپایک حجم وجود ندارد;❌ کندل‌های متوالی 1m: شرط برقرار نیست;✅ EMA کراس سریع: EMA8 بالای EMA21;❌ تأیید روند صعودی: شرایط کامل برقرار نیست;❌ فشار فروش: شرایط کامل برقرار نیست"
SOL-USDT,SHORT,HIGH,135.69000000,137.14902150,133.50146775,2026-01-08 00:15:20,OPEN,,,,,10.00,,"✅ قدرت کندل 15m: BS15=1.000 [حد ≥ 0.48];✅ قدرت کندل 5m: BS5=1.000 [حد ≥ 0.48];✅ روند EMA 1h: EMA21=137.25, EMA55=137.36;❌ روند EMA 4h: EMA21=136.59, EMA55=132.89, EMA200=131.14;✅ RSI 30m: RSI=41.60 | سطح=MEDIUM;✅ MACD 30m: MACD_hist=-0.0185 | سطح=MEDIUM;✅ شکست ورود: Price=135.69, EMA21=136.44, Th=0.003 | سطح=MEDIUM;❌ EMA Rejection: EMA=136.4400, Last=135.6900;✅ Pullback: Last=135.6900, Dir=SHORT;❌ ADX: ADX=3.70 [حد ≥ 20] | سطح=MEDIUM;❌ CCI: CCI=-58.30 | سطح=MEDIUM;❌ SAR: SAR=135.035, Close=135.69, Dir=SHORT;❌ Stochastic: K=33.86, D=11.29, Dir=SHORT | سطح=MEDIUM;❌ Resistance Test: Res=136.6700, Last=135.6900;✅ Double Top/Bottom: Pattern=DoubleTop;❌ Volume Spike: Factor=1.00;❌ Divergence: واگرایی وجود ندارد;❌ حجم لحظه‌ای 1m: اسپایک حجم وجود ندارد;❌ کندل‌های متوالی 1m: شرط برقرار نیست;✅ EMA کراس سریع: EMA8 بالای EMA21;❌ تأیید روند صعودی: شرایط کامل برقرار نیست;❌ فشار فروش: شرایط کامل برقرار نیست"
XRP-USDT,SHORT,HIGH,2.17502000,2.20465100,2.13057350,2026-01-08 00:15:21,OPEN,,,,,10.00,,"✅ قدرت کندل 15m: BS15=0.905 [حد ≥ 0.48];✅ قدرت کندل 5m: BS5=0.909 [حد ≥ 0.48];✅ روند EMA 1h: EMA21=2.23, EMA55=2.24;❌ روند EMA 4h: EMA21=2.21, EMA55=2.09, EMA200=2.02;✅ RSI 30m: RSI=34.14 | سطح=MEDIUM;✅ MACD 30m: MACD_hist=-0.0017 | سطح=MEDIUM;✅ شکست ورود: Price=2.18, EMA21=2.21, Th=0.003 | سطح=MEDIUM;❌ EMA Rejection: EMA=2.2100, Last=2.1750;❌ Pullback: Last=2.1750, Dir=SHORT;✅ ADX: ADX=47.35 [حد ≥ 20] | سطح=MEDIUM;✅ CCI: CCI=-100.75 | سطح=MEDIUM;❌ SAR: SAR=2.1745, Close=2.17502, Dir=SHORT;❌ Stochastic: K=5.23, D=1.74, Dir=SHORT | سطح=MEDIUM;❌ Resistance Test: Res=2.2232, Last=2.1750;✅ Double Top/Bottom: Pattern=DoubleBottom;❌ Volume Spike: Factor=1.00;❌ Divergence: واگرایی وجود ندارد;❌ حجم لحظه‌ای 1m: اسپایک حجم وجود ندارد;❌ کندل‌های متوالی 1m: شرط برقرار نیست;❌ EMA کراس سریع: EMA8 زیر EMA21;❌ تأیید روند صعودی: شرایط کامل برقرار نیست;❌ فشار فروش: شرایط کامل برقرار نیست"
ADA-USDT,SHORT,HIGH,0.40020000,0.40603800,0.39144300,2026-01-08 00:15:24,OPEN,,,,,10.00,,"✅ قدرت کندل 15m: BS15=1.000 [حد ≥ 0.48];✅ قدرت کندل 5m: BS5=1.000 [حد ≥ 0.48];✅ روند EMA 1h: EMA21=0.41, EMA55=0.41;❌ روند EMA 4h: EMA21=0.41, EMA55=0.39, EMA200=0.39;✅ RSI 30m: RSI=37.40 | سطح=MEDIUM;✅ MACD 30m: MACD_hist=-0.0004 | سطح=MEDIUM;✅ شکست ورود: Price=0.40, EMA21=0.41, Th=0.003 | سطح=MEDIUM;❌ EMA Rejection: EMA=0.4057, Last=0.4002;✅ Pullback: Last=0.4002, Dir=SHORT;✅ ADX: ADX=53.68 [حد ≥ 20] | سطح=MEDIUM;✅ CCI: CCI=-97.34 | سطح=MEDIUM;❌ SAR: SAR=0.3988, Close=0.4002, Dir=SHORT;❌ Stochastic: K=12.28, D=4.09, Dir=SHORT | سطح=MEDIUM;❌ Resistance Test: Res=0.4077, Last=0.4002;✅ Double Top/Bottom: Pattern=DoubleBottom;❌ Volume Spike: Factor=1.00;❌ Divergence: واگرایی وجود ندارد;❌ حجم لحظه‌ای 1m: اسپایک حجم وجود ندارد;❌ کندل‌های متوالی 1m: شرط برقرار نیست;❌ EMA کراس سریع: EMA8 زیر EMA21;❌ تأیید روند صعودی: شرایط کامل برقرار نیست;❌ فشار فروش: شرایط کامل برقرار نیست"
DOGE-USDT,SHORT,HIGH,0.14617000,0.14825950,0.14303575,2026-01-08 00:15:25,OPEN,,,,,10.00,,"✅ قدرت کندل 15m: BS15=1.000 [حد ≥ 0.48];✅ قدرت کندل 5m: BS5=1.000 [حد ≥ 0.48];✅ روند EMA 1h: EMA21=0.15, EMA55=0.15;❌ روند EMA 4h: EMA21=0.15, EMA55=0.14, EMA200=0.14;✅ RSI 30m: RSI=43.65 | سطح=MEDIUM;✅ MACD 30m: MACD_hist=-0.0001 | سطح=MEDIUM;✅ شکست ورود: Price=0.15, EMA21=0.15, Th=0.003 | سطح=MEDIUM;❌ EMA Rejection: EMA=0.1472, Last=0.1462;✅ Pullback: Last=0.1462, Dir=SHORT;❌ ADX: ADX=9.09 [حد ≥ 20] | سطح=MEDIUM;✅ CCI: CCI=-87.19 | سطح=MEDIUM;❌ SAR: SAR=0.1455, Close=0.14617, Dir=SHORT;❌ Stochastic: K=36.01, D=12.00, Dir=SHORT | سطح=MEDIUM;❌ Resistance Test: Res=0.1485, Last=0.1462;✅ Double Top/Bottom: Pattern=DoubleBottom;❌ Volume Spike: Factor=1.00;❌ Divergence: واگرایی وجود ندارد;❌ حجم لحظه‌ای 1m: اسپایک حجم وجود ندارد;❌ کندل‌های متوالی 1m: شرط برقرار نیست;✅ EMA کراس سریع: EMA8 بالای EMA21;❌ تأیید روند صعودی: شرایط کامل برقرار نیست;❌ فشار فروش: شرایط کامل برقرار نیست"
DOT-USDT,SHORT,MEDIUM,2.13220000,2.15738680,2.08182640,2026-01-08 00:15:26,OPEN,,,,,10.00,,"✅ قدرت کندل 15m: BS15=0.624 [حد ≥ 0.48];✅ قدرت کندل 5m: BS5=1.000 [حد ≥ 0.48];✅ روند EMA 1h: EMA21=2.17, EMA55=2.17;❌ روند EMA 4h: EMA21=2.16, EMA55=2.07, EMA200=2.06;✅ RSI 30m: RSI=41.04 | سطح=MEDIUM;✅ MACD 30m: MACD_hist=-0.0015 | سطح=MEDIUM;✅ شکست ورود: Price=2.13, EMA21=2.16, Th=0.003 | سطح=MEDIUM;❌ EMA Rejection: EMA=2.1571, Last=2.1322;✅ Pullback: Last=2.1322, Dir=SHORT;✅ ADX: ADX=37.69 [حد ≥ 20] | سطح=MEDIUM;✅ CCI: CCI=-114.88 | سطح=MEDIUM;❌ SAR: SAR=2.124, Close=2.1322, Dir=SHORT;❌ Stochastic: K=17.36, D=5.79, Dir=SHORT | سطح=MEDIUM;❌ Resistance Test: Res=2.1717, Last=2.1322;✅ Double Top/Bottom: Pattern=DoubleBottom;❌ Volume Spike: Factor=1.00;❌ Divergence: واگرایی وجود ندارد;❌ حجم لحظه‌ای 1m: اسپایک حجم وجود ندارد;❌ کندل‌های متوالی 1m: شرط برقرار نیست;✅ EMA کراس سریع: EMA8 بالای EMA21;❌ تأیید روند صعودی: شرایط کامل برقرار نیست;❌ فشار فروش: شرایط کامل برقرار نیست"
POL-USDT,SHORT,HIGH,0.12650000,0.12838850,0.12366725,2026-01-08 00:15:26,OPEN,,,,,10.00,,"✅ قدرت کندل 15m: BS15=0.800 [حد ≥ 0.48];❌ قدرت کندل 5m: BS5=0.000 [حد ≥ 0.48];❌ روند EMA 1h: EMA21=0.13, EMA55=0.13;❌ روند EMA 4h: EMA21=0.12, EMA55=0.12, EMA200=0.12;✅ RSI 30m: RSI=47.71 | سطح=MEDIUM;✅ MACD 30m: MACD_hist=-0.0001 | سطح=MEDIUM;❌ شکست ورود: Price=0.13, EMA21=0.13, Th=0.003 | سطح=MEDIUM;❌ EMA Rejection: EMA=0.1268, Last=0.1265;✅ Pullback: Last=0.1265, Dir=SHORT;✅ ADX: ADX=52.00 [حد ≥ 20] | سطح=MEDIUM;❌ CCI: CCI=-44.22 | سطح=MEDIUM;❌ SAR: SAR=0.1258, Close=0.1265, Dir=SHORT;❌ Stochastic: K=42.11, D=14.04, Dir=SHORT | سطح=MEDIUM;❌ Resistance Test: Res=0.1287, Last=0.1265;✅ Double Top/Bottom: Pattern=DoubleBottom;❌ Volume Spike: Factor=1.00;❌ Divergence: واگرایی وجود ندارد;❌ حجم لحظه‌ای 1m: اسپایک حجم وجود ندارد;❌ کندل‌های متوالی 1m: شرط برقرار نیست;✅ EMA کراس سریع: EMA8 بالای EMA21;❌ تأیید روند صعودی: شرایط کامل برقرار نیست;❌ فشار فروش: شرایط کامل برقرار نیست"
