symbol,direction,risk_level,entry_price,stop_loss,take_profit,issued_at_tehran,status,hit_time_tehran,hit_price,broker_fee,final_pnl_usd,position_size_usd,return_pct,signal_source
XAUT-USDT,SHORT,HIGH,5403.27000000,5490.61121250,5272.25818125,2026-01-30 00:22:01,OPEN,,,,,10.00,,"✅ قدرت کندل 15m: BS15=1.000 [حد ≥ 0.48];✅ قدرت کندل 5m: BS5=1.000 [حد ≥ 0.48];❌ روند EMA 1h: EMA21=5418.99, EMA55=5350.44;❌ روند EMA 4h: EMA21=5286.22, EMA55=5096.51, EMA200=4742.64;✅ RSI 30m: RSI=49.51 | سطح=MEDIUM;❌ MACD 30m: MACD_hist=0.0259 | سطح=MEDIUM;❌ شکست ورود: Price=5403.27, EMA21=5394.72, Th=0.003 | سطح=MEDIUM;❌ EMA Rejection: EMA=5394.7203, Last=5403.2700;✅ Pullback: Last=5403.2700, Dir=SHORT;✅ ADX: ADX=50.62 [حد ≥ 20] | سطح=MEDIUM;❌ CCI: CCI=-18.54 | سطح=MEDIUM;❌ SAR: SAR=5298.655, Close=5403.27, Dir=SHORT;❌ Stochastic: K=60.42, D=20.14, Dir=SHORT | سطح=MEDIUM;❌ Resistance Test: Res=5403.2700, Last=5403.2700;❌ Double Top/Bottom: Pattern=None;❌ Volume Spike: Factor=1.00;❌ Divergence: واگرایی وجود ندارد;❌ حجم لحظه‌ای 1m: اسپایک حجم وجود ندارد;❌ کندل‌های متوالی 1m: شرط برقرار نیست;✅ EMA کراس سریع: EMA8 بالای EMA21;❌ تأیید روند صعودی: شرایط کامل برقرار نیست;❌ فشار فروش: شرایط کامل برقرار نیست"
BTC-USDT,SHORT,MEDIUM,84295.90000000,84992.32321480,82903.05357040,2026-01-30 00:22:02,OPEN,,,,,10.00,,"✅ قدرت کندل 15m: BS15=0.537 [حد ≥ 0.48];✅ قدرت کندل 5m: BS5=0.656 [حد ≥ 0.48];✅ روند EMA 1h: EMA21=86586.70, EMA55=87780.70;✅ روند EMA 4h: EMA21=87627.92, EMA55=88938.97, EMA200=90363.59;✅ RSI 30m: RSI=31.01 | سطح=MEDIUM;✅ MACD 30m: MACD_hist=-100.5719 | سطح=MEDIUM;✅ شکست ورود: Price=84295.90, EMA21=85490.88, Th=0.003 | سطح=MEDIUM;❌ EMA Rejection: EMA=85490.8775, Last=84295.9000;✅ Pullback: Last=84295.9000, Dir=SHORT;❌ ADX: ADX=6.12 [حد ≥ 20] | سطح=MEDIUM;❌ CCI: CCI=-69.23 | سطح=MEDIUM;❌ SAR: SAR=83913.322, Close=84295.9, Dir=SHORT;❌ Stochastic: K=19.48, D=6.49, Dir=SHORT | سطح=MEDIUM;❌ Resistance Test: Res=85649.6000, Last=84295.9000;✅ Double Top/Bottom: Pattern=DoubleTop;❌ Volume Spike: Factor=1.00;❌ Divergence: واگرایی وجود ندارد;✅ حجم لحظه‌ای 1m: اسپایک حجم;❌ کندل‌های متوالی 1m: شرط برقرار نیست;✅ EMA کراس سریع: EMA8 بالای EMA21;❌ تأیید روند صعودی: شرایط کامل برقرار نیست;❌ فشار فروش: شرایط کامل برقرار نیست"
ETH-USDT,SHORT,HIGH,2807.97000000,2846.33881350,2750.41677975,2026-01-30 00:22:02,OPEN,,,,,10.00,,"✅ قدرت کندل 15m: BS15=0.577 [حد ≥ 0.48];✅ قدرت کندل 5m: BS5=0.582 [حد ≥ 0.48];✅ روند EMA 1h: EMA21=2891.98, EMA55=2936.40;✅ روند EMA 4h: EMA21=2927.21, EMA55=2975.85, EMA200=3058.95;✅ RSI 30m: RSI=34.39 | سطح=MEDIUM;✅ MACD 30m: MACD_hist=-2.1883 | سطح=MEDIUM;✅ شکست ورود: Price=2807.97, EMA21=2848.98, Th=0.003 | سطح=MEDIUM;❌ EMA Rejection: EMA=2848.9836, Last=2807.9700;✅ Pullback: Last=2807.9700, Dir=SHORT;❌ ADX: ADX=11.50 [حد ≥ 20] | سطح=MEDIUM;❌ CCI: CCI=-65.55 | سطح=MEDIUM;❌ SAR: SAR=2789.4324, Close=2807.97, Dir=SHORT;❌ Stochastic: K=29.15, D=9.72, Dir=SHORT | سطح=MEDIUM;❌ Resistance Test: Res=2860.0200, Last=2807.9700;✅ Double Top/Bottom: Pattern=DoubleTop;❌ Volume Spike: Factor=1.00;❌ Divergence: واگرایی وجود ندارد;❌ حجم لحظه‌ای 1m: اسپایک حجم وجود ندارد;❌ کندل‌های متوالی 1m: شرط برقرار نیست;✅ EMA کراس سریع: EMA8 بالای EMA21;❌ تأیید روند صعودی: شرایط کامل برقرار نیست;❌ فشار فروش: شرایط کامل برقرار نیست"
BNB-USDT,SHORT,HIGH,864.81700000,873.21119650,852.22570525,2026-01-30 00:22:03,OPEN,,,,,10.00,,"✅ قدرت کندل 15m: BS15=0.535 [حد ≥ 0.48];✅ قدرت کندل 5m: BS5=0.551 [حد ≥ 0.48];✅ روند EMA 1h: EMA21=881.81, EMA55=888.96;✅ روند EMA 4h: EMA21=885.96, EMA55=891.16, EMA200=894.43;✅ RSI 30m: RSI=36.15 | سطح=MEDIUM;✅ MACD 30m: MACD_hist=-0.2666 | سطح=MEDIUM;✅ شکست ورود: Price=864.82, EMA21=872.39, Th=0.003 | سطح=MEDIUM;❌ EMA Rejection: EMA=872.3876, Last=864.8170;✅ Pullback: Last=864.8170, Dir=SHORT;❌ ADX: ADX=17.91 [حد ≥ 20] | سطح=MEDIUM;❌ CCI: CCI=-52.08 | سطح=MEDIUM;❌ SAR: SAR=859.3803, Close=864.817, Dir=SHORT;❌ Stochastic: K=30.93, D=10.31, Dir=SHORT | سطح=MEDIUM;❌ Resistance Test: Res=870.3220, Last=864.8170;✅ Double Top/Bottom: Pattern=DoubleTop;❌ Volume Spike: Factor=1.00;❌ Divergence: واگرایی وجود ندارد;❌ حجم لحظه‌ای 1m: اسپایک حجم وجود ندارد;❌ کندل‌های متوالی 1m: شرط برقرار نیست;✅ EMA کراس سریع: EMA8 بالای EMA21;❌ تأیید روند صعودی: شرایط کامل برقرار نیست;❌ فشار فروش: شرایط کامل برقرار نیست"
SOL-USDT,SHORT,HIGH,117.22000000,118.88411350,114.72382975,2026-01-30 00:22:03,OPEN,,,,,10.00,,"❌ قدرت کندل 15m: BS15=0.234 [حد ≥ 0.48];❌ قدرت کندل 5m: BS5=0.405 [حد ≥ 0.48];✅ روند EMA 1h: EMA21=120.93, EMA55=123.24;✅ روند EMA 4h: EMA21=123.14, EMA55=126.42, EMA200=131.29;✅ RSI 30m: RSI=32.71 | سطح=MEDIUM;✅ MACD 30m: MACD_hist=-0.1206 | سطح=MEDIUM;✅ شکست ورود: Price=117.22, EMA21=119.11, Th=0.003 | سطح=MEDIUM;❌ EMA Rejection: EMA=119.1086, Last=117.2200;✅ Pullback: Last=117.2200, Dir=SHORT;❌ ADX: ADX=12.99 [حد ≥ 20] | سطح=MEDIUM;❌ CCI: CCI=-66.31 | سطح=MEDIUM;❌ SAR: SAR=116.5716, Close=117.22, Dir=SHORT;❌ Stochastic: K=23.37, D=7.79, Dir=SHORT | سطح=MEDIUM;❌ Resistance Test: Res=119.9700, Last=117.2200;✅ Double Top/Bottom: Pattern=DoubleTop;❌ Volume Spike: Factor=1.00;❌ Divergence: واگرایی وجود ندارد;✅ حجم لحظه‌ای 1m: اسپایک حجم;❌ کندل‌های متوالی 1m: شرط برقرار نیست;✅ EMA کراس سریع: EMA8 بالای EMA21;❌ تأیید روند صعودی: شرایط کامل برقرار نیست;❌ فشار فروش: شرایط کامل برقرار نیست"
XRP-USDT,SHORT,LOW,1.80649000,1.82549320,1.76848360,2026-01-30 00:22:04,OPEN,,,,,10.00,,"✅ قدرت کندل 15m: BS15=0.648 [حد ≥ 0.48];✅ قدرت کندل 5m: BS5=0.622 [حد ≥ 0.48];✅ روند EMA 1h: EMA21=1.85, EMA55=1.88;✅ روند EMA 4h: EMA21=1.88, EMA55=1.91, EMA200=1.98;✅ RSI 30m: RSI=38.30 | سطح=MEDIUM;✅ MACD 30m: MACD_hist=-0.0011 | سطح=MEDIUM;✅ شکست ورود: Price=1.81, EMA21=1.82, Th=0.003 | سطح=MEDIUM;❌ EMA Rejection: EMA=1.8238, Last=1.8065;✅ Pullback: Last=1.8065, Dir=SHORT;✅ ADX: ADX=20.74 [حد ≥ 20] | سطح=MEDIUM;❌ CCI: CCI=-60.04 | سطح=MEDIUM;❌ SAR: SAR=1.7866, Close=1.80649, Dir=SHORT;❌ Stochastic: K=28.31, D=9.44, Dir=SHORT | سطح=MEDIUM;❌ Resistance Test: Res=1.8435, Last=1.8065;✅ Double Top/Bottom: Pattern=DoubleBottom;❌ Volume Spike: Factor=1.00;❌ Divergence: واگرایی وجود ندارد;❌ حجم لحظه‌ای 1m: اسپایک حجم وجود ندارد;❌ کندل‌های متوالی 1m: شرط برقرار نیست;✅ EMA کراس سریع: EMA8 بالای EMA21;❌ تأیید روند صعودی: شرایط کامل برقرار نیست;❌ فشار فروش: شرایط کامل برقرار نیست"
ADA-USDT,SHORT,HIGH,0.33380000,0.33866900,0.32649650,2026-01-30 00:22:07,OPEN,,,,,10.00,,"✅ قدرت کندل 15m: BS15=0.650 [حد ≥ 0.48];✅ قدرت کندل 5m: BS5=0.556 [حد ≥ 0.48];✅ روند EMA 1h: EMA21=0.34, EMA55=0.35;✅ روند EMA 4h: EMA21=0.35, EMA55=0.36, EMA200=0.38;✅ RSI 30m: RSI=38.28 | سطح=MEDIUM;✅ MACD 30m: MACD_hist=-0.0000 | سطح=MEDIUM;✅ شکست ورود: Price=0.33, EMA21=0.34, Th=0.003 | سطح=MEDIUM;❌ EMA Rejection: EMA=0.3373, Last=0.3338;✅ Pullback: Last=0.3338, Dir=SHORT;❌ ADX: ADX=7.69 [حد ≥ 20] | سطح=MEDIUM;❌ CCI: CCI=-51.50 | سطح=MEDIUM;❌ SAR: SAR=0.3302, Close=0.3338, Dir=SHORT;❌ Stochastic: K=32.66, D=10.89, Dir=SHORT | سطح=MEDIUM;❌ Resistance Test: Res=0.3409, Last=0.3338;✅ Double Top/Bottom: Pattern=DoubleTop;❌ Volume Spike: Factor=1.00;❌ Divergence: واگرایی وجود ندارد;❌ حجم لحظه‌ای 1m: اسپایک حجم وجود ندارد;❌ کندل‌های متوالی 1m: شرط برقرار نیست;✅ EMA کراس سریع: EMA8 بالای EMA21;❌ تأیید روند صعودی: شرایط کامل برقرار نیست;❌ فشار فروش: شرایط کامل برقرار نیست"
DOGE-USDT,SHORT,LOW,0.11627000,0.11779700,0.11397950,2026-01-30 00:22:08,OPEN,,,,,10.00,,"✅ قدرت کندل 15m: BS15=0.536 [حد ≥ 0.48];✅ قدرت کندل 5m: BS5=0.571 [حد ≥ 0.48];✅ روند EMA 1h: EMA21=0.12, EMA55=0.12;✅ روند EMA 4h: EMA21=0.12, EMA55=0.12, EMA200=0.13;✅ RSI 30m: RSI=36.28 | سطح=MEDIUM;✅ MACD 30m: MACD_hist=-0.0000 | سطح=MEDIUM;✅ شکست ورود: Price=0.12, EMA21=0.12, Th=0.003 | سطح=MEDIUM;❌ EMA Rejection: EMA=0.1177, Last=0.1163;✅ Pullback: Last=0.1163, Dir=SHORT;✅ ADX: ADX=21.79 [حد ≥ 20] | سطح=MEDIUM;❌ CCI: CCI=-57.48 | سطح=MEDIUM;❌ SAR: SAR=0.1154, Close=0.11627, Dir=SHORT;❌ Stochastic: K=28.27, D=9.42, Dir=SHORT | سطح=MEDIUM;❌ Resistance Test: Res=0.1188, Last=0.1163;❌ Double Top/Bottom: Pattern=None;❌ Volume Spike: Factor=1.00;❌ Divergence: واگرایی وجود ندارد;❌ حجم لحظه‌ای 1m: اسپایک حجم وجود ندارد;❌ کندل‌های متوالی 1m: شرط برقرار نیست;✅ EMA کراس سریع: EMA8 بالای EMA21;❌ تأیید روند صعودی: شرایط کامل برقرار نیست;❌ فشار فروش: شرایط کامل برقرار نیست"
DOT-USDT,SHORT,HIGH,1.73820000,1.76443800,1.69884300,2026-01-30 00:22:08,OPEN,,,,,10.00,,"✅ قدرت کندل 15m: BS15=0.573 [حد ≥ 0.48];❌ قدرت کندل 5m: BS5=0.298 [حد ≥ 0.48];✅ روند EMA 1h: EMA21=1.78, EMA55=1.82;✅ روند EMA 4h: EMA21=1.82, EMA55=1.89, EMA200=1.99;✅ RSI 30m: RSI=41.53 | سطح=MEDIUM;❌ MACD 30m: MACD_hist=0.0011 | سطح=MEDIUM;✅ شکست ورود: Price=1.74, EMA21=1.75, Th=0.003 | سطح=MEDIUM;❌ EMA Rejection: EMA=1.7494, Last=1.7382;✅ Pullback: Last=1.7382, Dir=SHORT;❌ ADX: ADX=1.16 [حد ≥ 20] | سطح=MEDIUM;❌ CCI: CCI=-37.76 | سطح=MEDIUM;❌ SAR: SAR=1.7215, Close=1.7382, Dir=SHORT;❌ Stochastic: K=42.73, D=14.24, Dir=SHORT | سطح=MEDIUM;❌ Resistance Test: Res=1.7653, Last=1.7382;✅ Double Top/Bottom: Pattern=DoubleTop;❌ Volume Spike: Factor=1.00;❌ Divergence: واگرایی وجود ندارد;✅ حجم لحظه‌ای 1m: اسپایک حجم;❌ کندل‌های متوالی 1m: شرط برقرار نیست;✅ EMA کراس سریع: EMA8 بالای EMA21;❌ تأیید روند صعودی: شرایط کامل برقرار نیست;❌ فشار فروش: شرایط کامل برقرار نیست"
POL-USDT,SHORT,LOW,0.11230000,0.11374120,0.10941760,2026-01-30 00:22:09,OPEN,,,,,10.00,,"✅ قدرت کندل 15m: BS15=0.833 [حد ≥ 0.48];✅ قدرت کندل 5m: BS5=1.000 [حد ≥ 0.48];✅ روند EMA 1h: EMA21=0.11, EMA55=0.12;✅ روند EMA 4h: EMA21=0.12, EMA55=0.12, EMA200=0.13;✅ RSI 30m: RSI=43.30 | سطح=MEDIUM;✅ MACD 30m: MACD_hist=-0.0000 | سطح=MEDIUM;✅ شکست ورود: Price=0.11, EMA21=0.11, Th=0.003 | سطح=MEDIUM;❌ EMA Rejection: EMA=0.1130, Last=0.1123;✅ Pullback: Last=0.1123, Dir=SHORT;✅ ADX: ADX=25.37 [حد ≥ 20] | سطح=MEDIUM;❌ CCI: CCI=-39.42 | سطح=MEDIUM;❌ SAR: SAR=0.111, Close=0.1123, Dir=SHORT;❌ Stochastic: K=37.66, D=12.55, Dir=SHORT | سطح=MEDIUM;❌ Resistance Test: Res=0.1134, Last=0.1123;✅ Double Top/Bottom: Pattern=DoubleTop;❌ Volume Spike: Factor=1.00;❌ Divergence: واگرایی وجود ندارد;❌ حجم لحظه‌ای 1m: اسپایک حجم وجود ندارد;❌ کندل‌های متوالی 1m: شرط برقرار نیست;✅ EMA کراس سریع: EMA8 بالای EMA21;❌ تأیید روند صعودی: شرایط کامل برقرار نیست;❌ فشار فروش: شرایط کامل برقرار نیست"
